City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Shenzhen,Guangdong,China,,22.56,114.06,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
Schiphol-Rijk,North Holland,The Netherlands,1119,52.28,4.75,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
Yokohama,Kanagawa,Japan,231-0841,35.43,139.65,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Suyeong-gu,Busan,South Korea,482,35.18,129.09,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Sierra Vista,Arizona,United States,85613,31.56,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Madison,Wisconsin,United States,53717,43.07,-89.52,America/Chicago,Wingra Technologies,,
Quanzhou,Fujian,China,,24.91,118.57,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus,Damascus Governorate,Syria,,33.51,36.28,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Anchorage,Alaska,United States,99501,61.23,-149.88,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Orlando,Florida,United States,32801,28.54,-81.37,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Caldas,Minas Gerais,Brazil,37780,-21.88,-46.36,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Caracas,Miranda,Venezuela,,10.5,-66.84,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Rho,Lombardy,Italy,20017,45.52,9.09,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Bremen,Germany,28195,53.08,8.79,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Boydton,Virginia,United States,23917,36.68,-78.37,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,,
Malang,East Java,Indonesia,,-7.94,112.63,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Frankfurt am Main,Hesse,Germany,60313,50.12,8.68,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,Beijing,China,,39.91,116.4,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Austin,Texas,United States,78741,30.23,-97.72,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Peterborough,Ontario,Canada,K9H,44.32,-78.32,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,TalkTalk,TalkTalk Communications Limited,
Chicago,Illinois,United States,60602,41.89,-87.63,America/Chicago,Microsoft Limited,Microsoft Limited,
Louisville,Kentucky,United States,40219,38.2,-85.66,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Chiyoda,Tokyo,Japan,100-0001,35.69,139.75,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,New York,United States,10271,40.71,-74.01,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Skellefteå,Västerbotten County,Sweden,931 55,64.75,20.95,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Atlanta,Georgia,United States,30302,33.75,-84.39,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
Concord,California,United States,94520,37.97,-122.03,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,New York,United States,10123,40.71,-74.01,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Vilnius,Lithuania,2007,54.69,25.28,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
Princeton,New Jersey,United States,8540,40.34,-74.66,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ashburn,Virginia,United States,20149,39.05,-77.49,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,,
Tempe,Arizona,United States,85285,33.42,-111.91,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,Auckland,New Zealand,627,-36.8,174.75,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Gangbuk-gu,Seoul,South Korea,10,37.64,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Dallas,Texas,United States,75214,32.82,-96.75,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chisinau,Chișinău Municipality,Moldova,MD-2000,47.0,28.86,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Xiaolou,Guangdong,China,,23.38,113.76,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Mumbai,Maharashtra,India,400078,19.07,72.89,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,,
Lomé,Maritime,Togo,,6.13,1.22,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,,
Silver Spring,Maryland,United States,20904,39.07,-76.99,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,,
Haikou,Hainan,China,,20.0,110.24,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Zhengzhou,Henan,China,450000,34.79,113.79,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Chiyoda,Tokyo,Japan,100-0001,35.69,139.75,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,,
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Richlands,North Carolina,United States,28574,34.86,-77.59,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Livingston,Scotland,United Kingdom,EH54,55.9,-3.52,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taipei,Taiwan,Taiwan,,25.04,121.56,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Tampere,Pirkanmaa,Finland,33900,61.49,23.76,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Dublin,Leinster,Ireland,D02,53.35,-6.26,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,New York,United States,10123,40.71,-74.01,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
Leidschendam,South Holland,The Netherlands,2263,52.1,4.4,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
San Francisco,California,United States,94107,37.72,-122.39,America/Los_Angeles,Fastly,"Fastly, Inc.",
Cincinnati,Ohio,United States,45201,39.1,-84.51,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Huechuraba,Santiago Metropolitan,Chile,8580000,-33.38,-70.62,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Sierra Vista,Arizona,United States,85613,31.56,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
Victoria,British Columbia,Canada,V8T,48.45,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Richmond Hill,Ontario,Canada,L4C,43.87,-79.44,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Tucson,Arizona,United States,85706,32.15,-110.95,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Dearborn,Michigan,United States,48121,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Donetsk,Ukraine,7512,48.02,37.8,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Brewton,Alabama,United States,36426,31.13,-87.1,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,São Paulo,Brazil,01000-000,-23.56,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Springfield,Massachusetts,United States,1111,42.12,-72.55,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,District of Columbia,United States,20068,38.91,-77.04,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,,
Vienna,Vienna,Austria,1030,48.2,16.39,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,Tianjin,China,,39.15,117.18,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Chaowai,Beijing,China,,39.96,116.46,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,Beijing,China,100000,39.9,116.41,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Calgary,Alberta,Canada,T2R,51.04,-114.07,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Centreville,Virginia,United States,20120,38.84,-77.43,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,,
Cairo,Cairo Governorate,Egypt,,30.04,31.24,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Houston,Texas,United States,77056,29.74,-95.46,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,,
Rochester,New York,United States,14609,43.15,-77.57,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,,
Broadmeadows,Victoria,Australia,3047,-37.68,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,Beijing,China,100000,39.9,116.41,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
Bernardsville,New Jersey,United States,7920,40.7,-74.58,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Chennai,Tamil Nadu,India,600001,13.08,80.27,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Olympia,Washington,United States,98513,47.0,-122.74,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Konopiska,Silesia,Poland,42-274,50.73,19.01,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,,
Gresse,Mecklenburg-Vorpommern,Germany,19258,53.43,10.74,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Jinrongjie,Beijing,China,,39.91,116.36,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Concord,California,United States,94520,37.97,-122.03,America/Los_Angeles,Bank of America,"Bank of America, National Association",
Maiden,North Carolina,United States,,35.58,-81.21,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,,
Beijing,Beijing,China,100000,39.9,116.41,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Bell Canada,Bell Canada,
Fairfax,Virginia,United States,22031,38.86,-77.27,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Dearborn,Michigan,United States,48121,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
Paris,Île-de-France,France,75000,48.86,2.35,Europe/Paris,TVCCONV,France Telecom services,
Calais,Hauts-de-France,France,62100,50.95,1.85,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Jinrongjie,Beijing,China,,39.91,116.36,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Eschborn,Hesse,Germany,65760,50.13,8.57,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Takasago,Saitama,Japan,330-9301,35.87,139.66,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,New York,United States,10123,40.71,-74.01,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,São Paulo,Brazil,01000-000,-23.56,-46.64,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Montpellier,Occitanie,France,34070,43.61,3.88,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Ostbevern,North Rhine-Westphalia,Germany,48346,52.03,7.83,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
Raleigh,North Carolina,United States,27668,35.84,-78.61,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Moscow,Russia,125310,55.75,37.62,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
Palo Alto,California,United States,94304,37.41,-122.15,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,,
Seattle,Washington,United States,98168,47.49,-122.29,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Greenwood Village,Colorado,United States,80111,39.6,-104.89,America/Denver,Spectrum,Charter Communications Inc,
Frankfurt am Main,Hesse,Germany,60313,50.11,8.68,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Jeddah,Mecca Region,Saudi Arabia,,21.48,39.19,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Paris,Île-de-France,France,75015,48.84,2.29,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Windhoek,Khomas Region,Namibia,,-22.56,17.08,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,,
Raleigh,North Carolina,United States,27668,35.84,-78.61,America/New_York,United States Postal Service.,United States Postal Service,
Melbourne,Victoria,Australia,3058,-37.74,144.97,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Overland Park,Kansas,United States,66251,38.92,-94.66,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Chiyoda,Tokyo,Japan,100-8111,35.69,139.77,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Seattle,Washington,United States,98108,47.62,-122.34,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Tokyo,Japan,151-0071,35.68,139.68,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.91,-43.19,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Haidian,Beijing,China,,39.9,116.33,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ashburn,Virginia,United States,20147,39.01,-77.47,America/New_York,Verizon Business,Verizon Business,
La Crosse,Wisconsin,United States,54601,43.81,-91.25,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,,
Helsinki,Uusimaa,Finland,240,60.21,24.92,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Stuttgart,Baden-Wurttemberg,Germany,70327,48.79,9.24,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Dearborn,Michigan,United States,48121,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
Durham,North Carolina,United States,27709,35.9,-78.86,America/New_York,IBM,IBM,
São Paulo,São Paulo,Brazil,1000,-23.63,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
Charlotte,North Carolina,United States,28223,35.31,-80.73,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
