City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Weifang,Shandong,China,261000,36.71,119.16,Asia/Shanghai,China Unicom Shandong Province Network,,AS4837 CHINA UNICOM China169 Backbone
,,,,,,,,,
La Paz,La Paz Department,Bolivia,,-16.5,-68.15,America/La_Paz,Telefonica Celular de Bolivia S.A,Telefonica Celular de Bolivia S.A,
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Shanghai,Shanghai,China,,31.23,121.47,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group)
,,,,,,,,,
Falkenstein,Saxony,Germany,8223,50.48,12.36,Europe/Berlin,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH
Montreal,Quebec,Canada,H4X,45.5,-73.57,America/Toronto,IBM,IBM,
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,MICROSOFT,Microsoft Limited,AS8075 Microsoft Corporation
Guangzhou,Guangdong,China,,23.13,113.26,Asia/Shanghai,Huawei Cloud Service data center,Huawei Cloud Service,AS55990 Huawei Cloud Service data center
,,,,,,,,,
Schell City,Missouri,United States,64783,38.03,-94.09,America/Chicago,Internet Numbers Authority,Internet Numbers Authority,AS15804 The Way Out Company
Lublin,Lublin,Poland,20-078,51.25,22.56,Europe/Warsaw,academic part of Lublin MAN,,AS12324 Maria Curie-Sklodowska University
Grudziądz,Kujawsko-Pomorskie,Poland,86-302,53.4,18.71,Europe/Warsaw,Netia SA,INTERNETIA,AS12741 Netia SA
Paris,Texas,United States,75460,33.65,-95.54,America/Chicago,Suddenlink Communications,Suddenlink Communications,AS19108 Optimum
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Chiyoda,Tokyo,Japan,100-8111,35.69,139.77,Asia/Tokyo,Kddi Corporation,Kddi Corporation,AS2516 KDDI CORPORATION
Varberg,Halland County,Sweden,432 00,57.11,12.25,Europe/Stockholm,Telia Company AB,Telia Network Services,AS3301 Telia Company AB
Singapore,South West,Singapore,,1.33,103.74,Asia/Singapore,Qoxy PTE LTD,Qoxy PTE LTD,AS131259 QOXY PTE LTD
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,UBS AG,UBS AG,AS17071 UBS AG
Rødovre Municipality,Capital Region,Denmark,2610,55.69,12.46,Europe/Copenhagen,Telenor Denmark,Cybercity A/S,AS9158 Telenor A/S
Las Vegas,Nevada,United States,89117,36.13,-115.28,America/Los_Angeles,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS209 CenturyLink Communications, LLC"
Dublin,Leinster,Ireland,D02,53.35,-6.26,Europe/Dublin,BellSouth.net Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
Kaloum,Conakry Region,Guinea,,9.51,-13.71,Africa/Conakry,Areeba Guinee SA,2nd RO,AS37612 AREEBA GUINEE SA
Sierra Vista,Arizona,United States,85613,31.56,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Weifang,Shandong,China,261000,36.71,119.16,Asia/Shanghai,CNC Group CHINA169 Shandong Province Network,,AS4837 CHINA UNICOM China169 Backbone
Bozeman,Montana,United States,59715,45.67,-111.04,America/Denver,Montana State University,Montana State University,AS13476 Montana State University
Goshen,Kentucky,United States,40026,38.41,-85.58,America/New_York,Level 3,Plamp-keen Agency Inc,"AS3549 Level 3 Parent, LLC"
Tsing Yi,Kwai Tsing,Hong Kong,,22.35,114.11,Asia/Hong_Kong,HGC Global Communications Limited,HGC Global Communications Limited,AS9304 HGC Global Communications Limited
Singapore,Central Singapore,Singapore,148945,1.29,103.81,Asia/Singapore,"Singapore Telecommunications Ltd, Magix Services",SingNet Pte Ltd,AS9506 Singtel Fibre Broadband
Dallas,Texas,United States,75247,32.82,-96.87,America/Chicago,"CoreSpace, Inc.","CoreSpace, Inc.","AS54489 CoreSpace, Inc."
Harbin,Heilongjiang,China,150000,45.76,126.64,Asia/Shanghai,China Mobile communications corporation,China Mobile,AS132525 HeiLongJiang Mobile Communication Company Limited
New York,New York,United States,10123,40.71,-74.01,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business
Phaya Thai,Bangkok,Thailand,10400,13.79,100.55,Asia/Bangkok,Advanced Wireless Network Company Limited,Advanced Info Service Public Company Limited,AS45458 SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX
Caracas,Miranda,Venezuela,,10.5,-66.84,America/Caracas,CANTV Servicios,"CANTV Servicios, Venezuela",
West Lafayette,Indiana,United States,47907,40.42,-86.91,America/Chicago,Purdue University,Purdue University,AS397501 Purdue University
Wellesley,Massachusetts,United States,2481,42.31,-71.27,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS7015 Comcast Cable Communications, LLC"
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Societe Internationale de Telecommunications Aeronautiques,Societe Internationale de Telecommunications Aeronautiques,
Nakamachi,Tokyo,Japan,158-0091,35.61,139.64,Asia/Tokyo,NTT COMMUNICATIONS CORPORATION,OCN,AS4713 NTT Communications Corporation
,,,,,,,,,
Zurich,Zurich,Switzerland,8027,47.37,8.57,Europe/Zurich,Amazon.com,Amazon Data Services Switzerland,"AS16509 Amazon.com, Inc."
Barnaul,Altai Krai,Russia,656056,53.35,83.78,Asia/Barnaul,TOMTEL networks,CJSC ER-Telecom Holding Tomsk branch,"AS50512 JSC ""ER-Telecom Holding"""
Kfar Yona,Central District,Israel,,32.32,34.93,Asia/Jerusalem,Cellcom Fixed Line Communication L.P,013 Netvision Network,AS1680 Cellcom Fixed Line Communication L.P
,,,,,,,,,
,,,,,,,,,
Nairobi,Nairobi County,Kenya,9831,-1.28,36.82,Africa/Nairobi,Airtel KE Mobile & Fixed Internet,,AS327708 Airtel Rwanda Ltd
Litomyšl,Pardubicky kraj,Czechia,570 01,49.88,16.3,Europe/Prague,Fortech s.r.o,,AS28851 Nordic Telecom Regional s.r.o.
Sanger,California,United States,93657,36.78,-119.42,America/Los_Angeles,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego"
Shimomeguro,Tokyo,Japan,153-0061,35.64,139.7,Asia/Tokyo,ARTERIA Networks Corporation,"GMO Internet, Inc.",AS2519 ARTERIA Networks Corporation
Chiyoda,Tokyo,Japan,100-8111,35.69,139.77,Asia/Tokyo,NTTEAST-NGN,Nippon Telegraph and Telephone East Corporation,AS9595 NTT-ME Corporation
Seongnam-si,Gyeonggi-do,South Korea,5670,37.52,127.1,Asia/Seoul,SAMSUNGSDS,Samsungsds,
McLean,Virginia,United States,22102,38.92,-77.23,America/New_York,Booz Allen Hamilton Inc.,Advanced Decision Systems,AS7281 Booz Allen Hamilton Inc.
Rio Saliceto,Emilia-Romagna,Italy,42010,44.81,10.79,Europe/Rome,Fastweb SpA,FASTWEB VULA Statico,AS12874 Fastweb SpA
Chongqing,Chongqing,China,,29.57,106.56,Asia/Shanghai,China Telecom,,AS4134 CHINANET-BACKBONE
New Delhi,National Capital Territory of Delhi,India,110001,28.61,77.21,Asia/Kolkata,Bank of America,"Bank of America, N.A",
Khartoum,Khartoum,Sudan,,15.5,32.56,Africa/Khartoum,MTN SD,,
Darlington,England,United Kingdom,DL2,54.55,-1.59,Europe/London,Vodafone,Vodafone Limited,AS5378 Vodafone Limited
Umraniye,Istanbul,Turkey,34750,40.98,29.1,Europe/Istanbul,Ereey Grup Bilisim Teknolojileri Tic. Ltd. Sti.,Ereey Network,AS205961 EREEY GRUP BILISIM TEKNOLOJILERI TIC. LTD. STI.
Ilion,New York,United States,13357,43.02,-75.04,America/New_York,Charter Communications,Spectrum,AS11351 Charter Communications Inc
New Orleans,Louisiana,United States,70130,29.95,-90.07,America/Chicago,Verizon Business,BellSouth.Net,AS701 Verizon Business
Diu,Dadra and Nagar Haveli and Daman and Diu,India,362520,20.72,70.98,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,
San Juan,Metro Manila,Philippines,1500,14.61,121.05,Asia/Manila,Philippine Long Distance Telephone Co.,Philippine Long Distance Telephone Company,AS9299 Philippine Long Distance Telephone Company
Bern,Bern,Switzerland,3003,46.94,7.44,Europe/Zurich,Swiss Federation represented by FOITT,Swiss Federation represented by FOITT,AS33845 Swiss Federation represented by FOITT
Dyersburg,Tennessee,United States,38024,36.04,-89.39,America/Chicago,AT&T Corp.,Tennessee Board of Regents,AS19957 AT&T Corp.
Franklin,Ohio,United States,45005,39.53,-84.31,America/New_York,DoD Network Information Center,Air Force Systems Networking,AS56 DoD Network Information Center
,,,,,,,,,
Huamu,Shanghai,China,,31.21,121.6,Asia/Shanghai,Oriental Cable Network Co,"Oriental Cable Network Co., Ltd.","AS9812 Oriental Cable Network Co., Ltd."
,,,,,,,,,
Raleigh,North Carolina,United States,27606,35.76,-78.71,America/New_York,Charter Communications,Spectrum,AS11426 Charter Communications Inc
Council Bluffs,Iowa,United States,,41.26,-95.86,America/Chicago,Google LLC,Google Cloud (us-central1),AS396982 Google LLC
Casablanca,Casablanca-Settat,Morocco,,33.58,-7.61,Africa/Casablanca,CASA 4G MarocTelecom,,AS6713 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
Kansas City,Missouri,United States,64108,39.08,-94.58,America/Chicago,Hallmark Cards Inc.,Hallmark Cards Inc.,AS22089 Hallmark Cards Inc.
Honolulu,Hawaii,United States,96813,21.31,-157.86,Pacific/Honolulu,SystemMetrics Corporation,Enovatel LLC,AS21686 SystemMetrics Corporation
Guiyang,Guizhou,China,550000,26.65,106.63,Asia/Shanghai,Chinanet,Chinanet GZ,AS4134 CHINANET-BACKBONE
,,,,,,,,,
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Newark,New Jersey,United States,7102,40.74,-74.17,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,
Stuttgart,Baden-Wurttemberg,Germany,70173,48.78,9.18,Europe/Berlin,Robert Bosch GmbH,Robert Bosch Gesellschaft mit Beschraenkter Haftung,AS9183 Robert Bosch Gesellschaft mit Beschraenkter Haftung
Shenzhen,Guangdong,China,,22.56,114.06,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"AS16509 Amazon.com, Inc."
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Palo Alto,California,United States,94304,37.42,-122.15,America/Los_Angeles,Amazon.com,DXC US Latin America Corporation,
Gothenburg,Västra Götaland County,Sweden,417 67,57.71,11.97,Europe/Stockholm,Telia Company AB,Telia Network Services,AS3301 Telia Company AB
St. John's,Newfoundland and Labrador,Canada,A1A,47.56,-52.75,America/St_Johns,Xplornet Communications Inc.,Xplornet Communications Inc.,
Palo Alto,California,United States,94304,37.41,-122.15,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
Fleurus,Wallonia,Belgium,6224,50.48,4.58,Europe/Brussels,UOFLIEGE,University of Liege,AS2611 BELNET
Haidian,Beijing,China,,39.91,116.3,Asia/Shanghai,CDWGNET,Cdwgnet,
Enid,Oklahoma,United States,73703,36.39,-97.92,America/Chicago,Rackspace Hosting,Rackspace Hosting,AS33070 Rackspace Hosting
Portland,Oregon,United States,97252,45.52,-122.67,America/Los_Angeles,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications
Joinville,Santa Catarina,Brazil,89200,-26.27,-49.0,America/Sao_Paulo,TELEFÔNICA BRASIL S.A,Global Village Telecom,AS18881 TELEFÔNICA BRASIL S.A
Madrid,Madrid,Spain,28070,40.42,-3.7,Europe/Madrid,GTT Communications Inc.,Eptisa,AS3257 GTT Communications Inc.
Kuala Lumpur,Kuala Lumpur,Malaysia,50515,3.14,101.69,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.
Fort Collins,Colorado,United States,80526,40.56,-105.08,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Brisbane,Queensland,Australia,4101,-27.47,153.02,Australia/Brisbane,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd
Kuala Lumpur,Kuala Lumpur,Malaysia,50200,3.15,101.71,Asia/Kuala_Lumpur,Global Transit Communications,Global Transit Communications,AS24218 Global Transit Communications - Malaysia
Palo Alto,California,United States,94304,37.41,-122.15,America/Los_Angeles,Hewlett-Packard Company,Hewlett-Packard Company,
Gayang-dong,Daejeon,South Korea,300090,36.35,127.45,Asia/Seoul,Daejeon Helath Sciences College,Kren,AS18029 Daejeon Helath Sciences College
Zhengzhou,Henan,China,450000,34.75,113.62,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Namyangju,Gyeonggi-do,South Korea,,37.65,127.31,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Jacksonville,Florida,United States,32255,30.33,-81.66,America/New_York,"Arachnitec, INC.",High Speed Web/Genesis 2 Networks,"AS6921 Arachnitec, INC."
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ashburn,Virginia,United States,20149,39.04,-77.49,America/New_York,Amazon Technologies Inc.,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc."
Åmot,Buskerud,Norway,3340,59.91,9.92,Europe/Oslo,Telenor Mobil,,AS2119 Telenor Norge AS
Namdong-gu,Incheon,South Korea,216,37.39,126.71,Asia/Seoul,ITIS,,AS9317 INHA UNIVERSITY
Bilbao,Basque Country,Spain,48012,43.26,-2.94,Europe/Madrid,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea
Hibarigaoka,Tokyo,Japan,179-0072,35.75,139.62,Asia/Tokyo,"JCOM Co., Ltd.","JCOM Co., Ltd","AS9824 JCOM Co., Ltd."
,,,,,,,,,
Redwood City,California,United States,94065,37.53,-122.26,America/Los_Angeles,Oracle Corporation,Oracle Corporation,
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Morgan Stanley Group Inc.,Morgan Stanley Group Inc,
Miami,Florida,United States,33197,25.77,-80.19,America/New_York,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Hong Kong,Central and Western District,Hong Kong,0,22.27,114.19,Asia/Hong_Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation
Bielefeld,North Rhine-Westphalia,Germany,33602,52.02,8.53,Europe/Berlin,T-Systems International GmbH,T-Systems International GmbH,
,,,,,,,,,
Düsseldorf,North Rhine-Westphalia,Germany,40213,51.23,6.77,Europe/Berlin,Telefonica Germany GmbH & Co. OHG,Telefonica Germany GmbH & Co.,AS6805 Telefonica Germany GmbH & Co.OHG
,,,,,,,,,
Kampala,Central Region,Uganda,,0.32,32.57,Africa/Kampala,National Information Technology Authority Uganda,National Information Technology Authority Uganda,AS327724 National Information Technology Authority Uganda
Lissone,Lombardy,Italy,20851,45.61,9.24,Europe/Rome,Hivelocity Inc,Atik Srl,AS61317 Hivelocity Inc
Chiyoda,Tokyo,Japan,100-8111,35.69,139.77,Asia/Tokyo,"Hitachi, Ltd., Managed Services Business Division","Hitachi Systems, Ltd.","AS59109 Hitachi,Ltd., Managed Services Business Division"
Houston,Texas,United States,77056,29.75,-95.47,America/Chicago,Schlumberger Limited,Schlumberger Limited,AS72 Schlumberger Limited
,,,,,,,,,
,,,,,,,,,
Barrington,Rhode Island,United States,2806,41.74,-71.32,America/New_York,i3 Broadband,i3 Broadband,AS25710 i3 Broadband
London,England,United Kingdom,W1B,51.51,-0.13,Europe/London,Microsoft Corporation,Microsoft Corporation,
Minato-ku,Tokyo,Japan,104-0045,35.66,139.76,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.
Lexington-Fayette,Kentucky,United States,40509,37.99,-84.38,America/New_York,Spectrum,Road Runner,AS10796 Charter Communications Inc
North Charleston,South Carolina,United States,,32.88,-80.01,America/New_York,Google LLC,Google Cloud (us-east1),AS396982 Google LLC
Aurora,Illinois,United States,60506,41.77,-88.34,America/Chicago,"AT&T Services, Inc.","HYPER-IT SERVICES, LLC","AS7018 AT&T Services, Inc."
Frankfurt am Main,Hesse,Germany,60313,50.11,8.68,Europe/Berlin,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center
Stockholm,Stockholm County,Sweden,100 05,59.33,18.07,Europe/Stockholm,PROSECUTE,,
Santo Domingo,Nacional,Dominican Republic,10145,18.46,-69.94,America/Santo_Domingo,Banco Multiple BHD Leon SA,Banco Multiple BHD Leon SA,AS271959 BANCO MULTIPLE BHD LEON SA
,,,,,,,,,
Norwalk,Connecticut,United States,6851,41.09,-73.42,America/New_York,FactSet Research Systems,"FactSet Research Systems, Inc",
Marcheprime,Nouvelle-Aquitaine,France,33380,44.69,-0.85,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Beijing,Beijing,China,,39.9,116.41,Asia/Shanghai,Alibaba.com Singapore E-Commerce Private Limited,Aliyun Computing Co.,
Milan,Lombardy,Italy,20121,45.46,9.19,Europe/Rome,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.
Prague,Prague,Czechia,110 00,50.09,14.41,Europe/Prague,T-Mobile Czech Republic,PC-Datacode s.r.o.,AS13036 T-Mobile Czech Republic a.s.
Beijing,Beijing,China,100000,39.9,116.41,Asia/Shanghai,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China."
Amsterdam,New York,United States,12010,42.96,-74.17,America/New_York,Spectrum,"Road Runner, VoIP Residential",AS11351 Charter Communications Inc
Phoenix,Arizona,United States,85001,33.45,-112.07,America/Phoenix,Microsoft Corporation,Microsoft Azure Cloud (westus3),AS8075 Microsoft Corporation
,,,,,,,,,
Norfolk,Virginia,United States,23501,36.92,-76.19,America/New_York,DoD Network Information Center,Navy Network Information Center,AS647 DoD Network Information Center
Mountain View,California,United States,94043,37.42,-122.08,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC
,,,,,,,,,
,,,,,,,,,
Paris,Île-de-France,France,75000,48.86,2.35,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Caracas,Miranda,Venezuela,,10.5,-66.84,America/Caracas,"TELEFONICA VENEZOLANA, C.A.","TELEFONICA VENEZOLANA, C.A","AS6306 TELEFONICA VENEZOLANA, C.A."
Raleigh,North Carolina,United States,27668,35.84,-78.61,America/New_York,United States Postal Service.,United States Postal Service,
Kuala Lumpur,Kuala Lumpur,Malaysia,59200,3.12,101.67,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.
Seoul,Seoul,South Korea,45,37.55,126.95,Asia/Seoul,Konkuk University,Konkuknet,AS9459 Konkuk University
Charles Town,West Virginia,United States,25414,39.28,-77.85,America/New_York,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS33657 Comcast Cable Communications, LLC"
Hamburg,Free and Hanseatic City of Hamburg,Germany,22587,53.56,9.8,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Toronto,Ontario,Canada,M5A,43.71,-79.41,America/Toronto,Cogent Communications,Diallog Telecommunications Corp,AS174 Cogent Communications
Sannomaru,Aichi,Japan,460-0001,35.18,136.89,Asia/Tokyo,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.
Tempe,Arizona,United States,85284,33.34,-111.89,America/Phoenix,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC"
Seongnam-si,Gyeonggi-do,South Korea,13606,37.36,127.12,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
,,,,,,,,,
,,,,,,,,,
Ewirgol,Xinjiang,China,,42.52,87.54,Asia/Urumqi,CHINATELECOM Xinjiang Kezhou MAN network,Chinanet XJ,AS137694 CHINATELECOM Xinjiang Kezhou MAN network
,,,,,,,,,
Schwedt,Brandenburg,Germany,16303,53.06,14.28,Europe/Berlin,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH
,,,,,,,,,
Round Rock,Texas,United States,78665,30.52,-97.67,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
,,,,,,,,,
Palo Alto,California,United States,94304,37.41,-122.15,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
New York,New York,United States,10123,40.71,-74.01,America/New_York,Charter Communications,Spectrum,AS16787 Charter Communications
São Paulo,São Paulo,Brazil,01000-000,-23.55,-46.63,America/Sao_Paulo,Amazon Technologies Inc.,AWS EC2 (sa-east-1),"AS16509 Amazon.com, Inc."
Zhoutou,Hebei,China,,37.9,114.9,Asia/Shanghai,China Unicom China169 Network,,AS4837 CHINA UNICOM China169 Backbone
Hoogeveen,Drenthe,The Netherlands,7901,52.73,6.49,Europe/Amsterdam,VODAFONE,,AS15480 Vodafone Libertel B.V.
Seongnam-si,Gyeonggi-do,South Korea,13606,37.36,127.12,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
McCall,Idaho,United States,83638,44.89,-116.07,America/Boise,Wholesail networks LLC,Ziply Fiber,AS20055 Wholesail networks LLC
Vienna,Vienna,Austria,1010,48.21,16.37,Europe/Vienna,KYNDR,,
Calgary,Alberta,Canada,T2C,50.96,-114.01,America/Edmonton,Imperial Oil Limited,Imperial Oil Limited,
Boydton,Virginia,United States,23917,36.68,-78.37,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation
Taiyuan,Shanxi,China,,37.86,112.56,Asia/Shanghai,Chinanet,Sxpdsn,AS4134 CHINANET-BACKBONE
Brisbane,Queensland,Australia,4305,-27.59,152.73,Australia/Brisbane,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD
Umraniye,Istanbul,Turkey,34860,40.92,29.18,Europe/Istanbul,Superonline Iletisim Hizmetleri A.S.,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.
Beijing,Beijing,China,100000,39.9,116.41,Asia/Shanghai,BSHNET,"Beijing Bosheng Technology Co., Ltd.",
Santiago,Santiago Metropolitan,Chile,34033,-33.46,-70.65,America/Santiago,Informatica Bluehosting Limitada,Informatica Bluehosting Limitada,AS64111 INFORMATICA BLUEHOSTING LIMITADA
Seattle,Washington,United States,98108,47.62,-122.34,America/Los_Angeles,Amazon.com,"Amazon.com, Inc.",
,,,,,,,,,
Montgomery,Alabama,United States,36114,32.4,-86.24,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center
Long Beach,California,United States,90815,33.79,-118.12,America/Los_Angeles,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman
,,,,,,,,,
Antwerp,Flanders,Belgium,2050,51.22,4.39,Europe/Brussels,Mobistar Cable,Mobistar Enterprise Services,AS47377 Orange Belgium SA
Minato-ku,Tokyo,Japan,104-0045,35.66,139.76,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.
,,,,,,,,,
Carlow,Leinster,Ireland,R93,52.83,-6.94,Europe/Dublin,RTC-CARLOW,Institute of Technology Carlow,AS1213 HEAnet CLG
Orland Park,Illinois,United States,60462,41.62,-87.84,America/Chicago,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33491 Comcast Cable Communications, LLC"
Monterrey,Nuevo León,Mexico,64260,25.67,-100.37,America/Monterrey,Axtel - Recursos WiMAX,Axtel - Recursos WiMAX,
Shanghai,Shanghai,China,,31.23,121.47,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group)
Blacksburg,Virginia,United States,24061,37.2,-80.41,America/New_York,Virginia Polytechnic Institute and State Univ.,Virginia Polytechnic Institute and State Univ.,AS1312 Virginia Polytechnic Institute and State Univ.
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
,,,,,,,,,
Perm,Perm Krai,Russia,614000,58.0,56.24,Asia/Yekaterinburg,OJSC uralsvyazinform,Dynamic distribution IPs for broadband services,AS12389 PJSC Rostelecom
Dorval,Quebec,Canada,H9S,45.44,-73.78,America/Toronto,Beanfield Technologies Inc.,Beanfield Technologies Inc,AS21548 Beanfield Technologies Inc.
Heredia,Heredia Province,Costa Rica,40703,9.97,-84.17,America/Costa_Rica,Instituto Costarricense de Electricidad y Telecom.,San Pedro,AS11830 Instituto Costarricense de Electricidad y Telecom.
Machakos,Machakos County,Kenya,,-1.52,37.26,Africa/Nairobi,Airtel KE Mobile & Fixed Internet,,AS327708 Airtel Rwanda Ltd
,,,,,,,,,
Givors,Auvergne-Rhône-Alpes,France,69700,45.59,4.78,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Mountain View,California,United States,94043,37.42,-122.08,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC
Indianapolis,Indiana,United States,46204,39.77,-86.16,America/Chicago,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc."
Kyiv,Kyiv City,Ukraine,1010,50.45,30.52,Europe/Kiev,Lifecell UA,Turkcell LLC,"AS34058 Limited Liability Company ""lifecell"""
Whitehall,Ohio,United States,43218,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98108,47.62,-122.34,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Munich,Bavaria,Germany,80939,48.18,11.6,Europe/Berlin,A100 ROW Inc,A100 ROW Inc,
San Salvador de Jujuy,Jujuy,Argentina,4600,-24.2,-65.18,America/Argentina/Jujuy,TV MUSIC HOUSE JUJUY,TV MUSIC HOUSE JUJUY,AS52312 TV MUSIC HOUSE JUJUY
,,,,,,,,,
Framingham,Massachusetts,United States,1701,42.3,-71.43,America/New_York,"Akamai Technologies, Inc.",The Bank of New York Mellon Corporation,"AS32787 Akamai Technologies, Inc."
Denver,Colorado,United States,80221,39.83,-105.0,America/Denver,Lockheed Martin Corporation,Lockheed Martin Corporation,
,,,,,,,,,
Redwood City,California,United States,94065,37.53,-122.26,America/Los_Angeles,Oracle Corporation,Oracle Corporation,
