Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Arizona,United States,Salt River Project Agricultural Improvement & Power District,Salt River Project Agricultural Improvement and Power District,AS2575 Salt River Project Agricultural Improvement & Power District,85***,33.45,-111.96,1
Arizona,United States,USAREC,USAISC,AS367 DoD Network Information Center,85***,31.56,-110.35,1
Arkansas,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",72***,34.74,-92.29,1
Arkansas,United States,"Wal-Mart Stores, Inc.","Wal-Mart Stores, Inc.","AS10695 Wal-Mart Stores, Inc.",72***,36.37,-94.22,2
Arkansas,United States,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,72***,34.79,-92.4,1
Auckland,New Zealand,FX VoIP Network,CallPlus Services Limited,AS9790 Two Degrees Networks Limited,10**,-36.87,174.78,1
Auckland,New Zealand,Mercury NZ Limited,Mercury NZ Limited,AS55850 Mercury NZ Limited,10**,-36.85,174.76,1
Auckland,New Zealand,One New Zealand Group Limited,Vfnz SVC,AS9500 One New Zealand Group Limited,10**,-36.85,174.76,1
Auckland,New Zealand,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd,62*,-36.8,174.75,1
Australian Capital Territory,Australia,ACT Government InTACT Group,ACT Government InTACT Group,AS139344 ACT Government InTACT Group,26**,-35.28,149.13,1
Auvergne-Rhône-Alpes,France,BE YS Cloud France SASU,Almerys,AS200102 BE YS Cloud France SASU,63***,45.79,3.11,1
Auvergne-Rhône-Alpes,France,ESRF-GRENOBLE,The ESRF,AS1942 Renater,38***,45.21,5.69,1
Auvergne-Rhône-Alpes,France,Societe Francaise Du Radiotelephone - SFR SA,SFR SA,AS15557 Societe Francaise Du Radiotelephone - SFR SA,38***,45.15,5.69,1
Auvergne-Rhône-Alpes,France,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,69***,45.59,4.78,1
Aveiro,Portugal,PT Comunicacoes S.A,PT Comunicacoes S.A.,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,45******,40.99,-8.52,1
Azores,Portugal,Cabo TV Acoreana,nos açores comunicacoes s.a.,"AS42580 NOS ACORES COMUNICACOES, S.A.",96******,37.71,-25.45,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,69***,49.3,8.7,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,70***,48.77,9.18,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,71***,48.89,9.22,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,71***,48.92,9.11,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,74***,49.14,9.21,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,76***,49.01,8.42,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,79***,48.23,7.71,1
Baden-Wurttemberg,Germany,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG,70***,48.79,9.24,8
Baden-Wurttemberg,Germany,Robert Bosch GmbH,Robert Bosch Gesellschaft mit Beschraenkter Haftung,AS9183 Robert Bosch Gesellschaft mit Beschraenkter Haftung,70***,48.78,9.18,1
Bahia,Brazil,TIM S/A,TIM S/A,AS26615 TIM S/A,40***,-12.87,-38.48,1
Baja California,Mexico,Uninet S.A. de C.V.,"Telefonos del Noroeste, S.A. de C.V",AS8151 UNINET,22***,32.46,-117.0,1
Bangkok,Thailand,Advanced Wireless Network Company Limited,Advanced Info Service Public Company Limited,AS45458 SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,10***,13.79,100.55,1
Bangkok,Thailand,Advanced Wireless Network Company Limited,Advanced Wireless Network Company Limited,AS131445 Advance Wireless Network,10***,13.77,100.54,1
Bangkok,Thailand,KSC Commercial Internet Co. Ltd.,COMNET,AS7693 KSC Commercial Internet Co. Ltd.,10***,13.93,100.59,1
Bangkok,Thailand,NTT (Thailand) Limited 6th Floor,NTT (Thailand) Limited,AS38566 NTTCTNET,10***,13.71,100.46,1
Banská Bystrica Region,Slovakia,DataCentrum,Financial Directorate of the Slovak Republic,AS30898 DataCentrum,97****,48.74,19.14,1
Basque Country,Spain,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,48***,43.26,-2.94,1
Bavaria,Germany,ARCOR-IP,Arcor AG,AS3209 Vodafone GmbH,87***,47.89,10.62,1
Bavaria,Germany,Contabo GmbH,Contabo GmbH,AS51167 Contabo GmbH,90***,49.4,11.16,1
Bavaria,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,83***,48.01,12.54,1
Bavaria,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,93***,48.82,11.85,1
Bavaria,Germany,Schaeffler Technologies AG & Co. KG,Schaeffler Technologies GmbH & Co.,AS20561 Schaeffler Technologies AG & Co. KG,91***,49.57,10.88,1
Bavaria,Germany,VF-Network,Arcor AG,AS3209 Vodafone GmbH,90***,49.41,11.14,1
Beijing,China,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone,10****,39.9,116.41,1
Beijing,China,China Networks Inter-Exchange,Bjenet,AS4847 China Networks Inter-Exchange,10****,39.9,116.41,2
Beijing,China,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",10****,39.9,116.41,1
Beijing,China,China TieTong Telecommunications Corporation,China TieTong Telecommunications Corporation,AS9394 China TieTong Telecommunications Corporation,10****,39.9,116.41,2
Beijing,China,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network,10****,39.9,116.41,1
Beijing,China,Chinanet,Chinanet HN,AS4134 CHINANET-BACKBONE,10****,39.9,116.41,1
Beijing,China,"Hangzhou Alibaba Advertising Co., Ltd.",Aliyun Computing Co.,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",10****,39.9,116.41,2
Bern,Switzerland,Swiss Federation represented by FOITT,Swiss Federation represented by FOITT,AS33845 Swiss Federation represented by FOITT,30**,46.94,7.44,1
Bern,Switzerland,Swisscom (Schweiz) AG - Bluewin,Swisscom (Schweiz) AG,AS3303 Swisscom (Schweiz) AG,32**,46.96,7.34,1
Bogota D.C.,Colombia,ETB - Colombia,ETB - Colombia,AS19429 ETB - Colombia,11****,4.64,-74.06,1
Brandenburg,Germany,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH,16***,53.06,14.28,1
Bratislava Region,Slovakia,Liberty Global B.V.,UPC Slovakia,AS6830 Liberty Global B.V.,81****,48.16,17.09,1
Bratislava Region,Slovakia,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,Slovak Academy of Sciences,AS2607 Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,84****,48.2,17.05,1
Brașov County,Romania,RCS & RDS,RCS & RDS Residential,AS8708 RCS & RDS,50****,45.65,25.61,1
Bremen,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,28***,53.08,8.79,2
Bremen,Germany,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,Potsblitz,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,27***,53.53,8.58,1
British Columbia,Canada,ABC Allen Business Communications Ltd,ABC Allen Business Communications Ltd,AS62969 ABC Allen Business Communications Ltd,V2*,53.91,-122.73,1
British Columbia,Canada,British Columbia Institute of Technology,British Columbia Institute of Technology,AS4476 British Columbia Institute of Technology,V5*,49.25,-122.99,1
British Columbia,Canada,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia,V8*,48.45,-123.37,1
British Columbia,Canada,Shaw Communications Inc.,Shaw Communications Inc,AS6327 Shaw Communications Inc.,V1*,49.9,-119.49,1
British Columbia,Canada,Shaw Communications Inc.,Shaw Communications Inc.,AS6327 Shaw Communications Inc.,V0*,50.58,-126.92,1
British Columbia,Canada,University of British Columbia,University of British Columbia,AS393249 University of British Columbia,V7*,49.13,-123.17,1
București,Romania,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si C,Politehnica University of Bucharest,AS2614 Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare,61***,44.45,26.02,1
București,Romania,Euroweb Romania,SC FSP Global SRL,AS6663 Euroweb Romania S.R.L.,23***,44.42,26.17,1
Budapest,Hungary,ELTENET,Eotvos Lorand University of Sciences,AS2012 ELTENET,10**,47.56,19.09,1
Budapest,Hungary,ISZT Nonprofit Kft,ISZT INTERNET SZOLGALTATOK Halozati Koordinacios Kozpontja Nonprofit KFT,AS12303 Council of Hungarian Internet Providers,10**,47.52,19.06,1
Budapest,Hungary,Telenor Hungary Plc,Telenor Hungary Plc.,AS213155 Yettel Hungary Ltd.,10**,47.56,19.09,1
Buenos Aires,Argentina,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,17**,-36.0,-60.0,1
Buenos Aires,Argentina,Telefonica de Argentina,Telefonica de Argentina,AS22927 Telefonica de Argentina,16**,-34.51,-58.69,1
Buenos Aires,Argentina,Universidad Nacional de Buenos Aires,Universidad Nacional de Buenos Aires,AS3449 Universidad Nacional de Buenos Aires,17**,-36.0,-60.0,1
Buenos Aires F.D.,Argentina,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,18**,-34.6,-58.38,1
Buenos Aires F.D.,Argentina,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,18**,-34.58,-58.44,1
Busan,South Korea,BUSAN EDUCATION RESEARCH & INFORMATION INSTITUTE,Petinet,AS9706 BUSAN EDUCATION RESEARCH & INFORMATION INSTITUTE,48***,35.1,129.04,1
Busan,South Korea,Dong-A Universirty,Donganet,AS9753 Dong-A Universirty,48*,35.18,129.14,1
Busan,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,48*,35.18,129.09,1
Buskerud,Norway,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",35**,60.47,8.47,1
Caldas Department,Colombia,Telmex Colombia S.A.,Telmex Colombia S.A,AS10620 Telmex Colombia S.A.,17****,5.07,-75.52,1
California,United States,"8x8, Inc.","8x8, Inc","AS13896 8x8, Inc.",95***,37.18,-121.77,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",91***,34.2,-118.54,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",92***,33.88,-117.54,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",92***,34.03,-117.29,1
California,United States,"AT&T Services, Inc.",AT&T Worldnet Services,"AS7018 AT&T Services, Inc.",94***,37.78,-122.42,1
California,United States,"AT&T Services, Inc.",Acc-american Motors Corporati,"AS7018 AT&T Services, Inc.",95***,37.44,-121.9,1
California,United States,"AT&T Services, Inc.",Liquid Thinking,"AS7018 AT&T Services, Inc.",94***,37.81,-122.41,1
California,United States,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,90***,34.05,-118.24,1
California,United States,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,95***,37.34,-121.89,2
California,United States,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,94***,37.56,-122.0,1
California,United States,"Amazon.com, Inc.",AWS EC2 (us-west-1),"AS16509 Amazon.com, Inc.",95***,37.34,-121.9,1
California,United States,Apple Inc.,Apple Inc,AS714 Apple Inc.,95***,37.32,-122.03,3
California,United States,"Beijing Jingdong 360 Degree E-commerce Co., Ltd.","Beijing Jingdong 360 Degree E-commerce Co., Ltd.","AS131486 Beijing Jingdong 360 Degree E-commerce Co., Ltd.",95***,37.34,-121.89,1
California,United States,California Department of Technology,California Department of Insurance,AS1226 California Department of Technology,95***,38.58,-121.5,1
California,United States,California State University,Monterey COE,"AS2152 California State University, Office of the Chancellor",93***,36.61,-121.92,1
California,United States,California State University,Moss Landing Marine Laboratory,"AS2152 California State University, Office of the Chancellor",93***,36.68,-121.79,1
California,United States,CenturyLink Communications,Sony Computer Entertainment-Network Platform/Infrastructure,"AS3561 CenturyLink Communications, LLC",94***,37.56,-122.28,1
California,United States,Charter Communications,Spectrum,AS20001 Charter Communications Inc,90***,34.05,-118.24,1
California,United States,Charter Communications,Spectrum,AS20115 Charter Communications,93***,36.07,-119.03,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, IP Services","AS33667 Comcast Cable Communications, LLC",95***,38.66,-121.34,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc","AS33667 Comcast Cable Communications, LLC",95***,38.7,-121.27,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33667 Comcast Cable Communications, LLC",95***,38.7,-121.27,1
California,United States,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33667 Comcast Cable Communications, LLC",95***,38.03,-121.35,1
California,United States,Cox Communications Inc.,Cox Communications Inc,AS22773 Cox Communications Inc.,92***,32.81,-116.92,1
California,United States,Goldstone (Deep Space Network) Facility,Goldstone (Deep Space Network) Facility,AS297 National Aeronautics and Space Administration,92***,35.28,-116.78,1
California,United States,Google LLC,Google LLC,AS396982 Google LLC,94***,37.42,-122.08,3
California,United States,HCL AMERICA INC,HCL AMERICA INC,AS36224 HCL AMERICA INC,94***,37.39,-122.04,1
California,United States,HostPapa,RackNerd LLC,AS36352 HostPapa,90***,34.05,-118.24,1
