Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Connecticut,United States,Frontier Communications Solutions,LDSL-D Frontier Communications Wallingford - CT,"AS46690 Southern New England Telephone Company and SNET America, Inc.",64**,41.56,-72.66,1
Connecticut,United States,Static IP Services,590 FORD AM RD INC,AS6128 Cablevision Systems Corp.,68**,41.12,-73.44,1
Dadra and Nagar Haveli and Daman and Diu,India,telnet technoinfra pvt ltd,telnet technoinfra pvt ltd,AS138411 Telnet Technoinfra Pvt Ltd,39****,20.41,72.83,1
Daejeon,South Korea,Daejeon Helath Sciences College,Kren,AS18029 Daejeon Helath Sciences College,30****,36.35,127.45,1
Daejeon,South Korea,LG POWERCOMM,LG POWERCOMM,AS17858 LG POWERCOMM,35*,36.36,127.38,1
Daejeon,South Korea,Woosong Information College,Korean Education Network,AS9782 WooSong University,35***,36.34,127.39,1
Delaware,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33657 Comcast Cable Communications, LLC",19***,39.29,-75.6,1
District of Columbia,United States,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc.",20***,38.91,-77.04,1
District of Columbia,United States,"AT&T Services, Inc.",AT&T Mobility LLC,"AS7018 AT&T Services, Inc.",20***,38.91,-77.04,1
District of Columbia,United States,Cogent Communications,Cogent Communications - IPENG,AS174 Cogent Communications,56***,38.89,-77.04,1
District of Columbia,United States,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications,20***,38.91,-77.05,3
District of Columbia,United States,Verizon Business,Central Intelligence Agency,AS7046 Verizon Business,20***,38.91,-77.04,1
Donetsk,Ukraine,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd,75**,48.02,37.8,1
Dubai,United Arab Emirates,Microsoft Corporation,Microsoft Azure Cloud (uaenorth),AS8075 Microsoft Corporation,17****,25.27,55.32,1
Emilia-Romagna,Italy,Fastweb SpA,FASTWEB VULA Statico,AS12874 Fastweb SpA,42***,44.81,10.79,1
Emilia-Romagna,Italy,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.,40***,44.49,11.38,1
England,United Kingdom,ASK4 Limited,Ask4 Limited,AS41230 ASK4 Limited,S1***,53.39,-1.46,1
England,United Kingdom,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"AS16509 Amazon.com, Inc.",W1*,51.51,-0.13,1
England,United Kingdom,British Telecommunications PLC,BT MBB,AS6871 Plusnet,ST**,52.76,-2.07,1
England,United Kingdom,EE Limited,EEMobile,AS12576 EE Limited,RM*,51.55,0.11,2
England,United Kingdom,EE Limited,MBB Pools,AS12576 EE Limited,AL******,51.77,-0.25,1
England,United Kingdom,EE Limited,Orange PCS GPRS Services,AS12576 EE Limited,AL******,51.77,-0.24,1
England,United Kingdom,IBG-Hosting,Progressive Digital Media Group PLC,AS25180 Exponential-E Ltd.,EC**,51.51,-0.11,1
England,United Kingdom,Jisc Services Limited,De Montfort University,AS786 Jisc Services Limited,LE*****,52.63,-1.14,1
England,United Kingdom,"Level 3 Communications, Inc.",UK Customer Serial Links,"AS3356 Level 3 Parent, LLC",EC******,51.53,-0.1,1
England,United Kingdom,MICROSOFT,Microsoft Limited,AS8075 Microsoft Corporation,W1*,51.51,-0.13,4
England,United Kingdom,Microsoft,Microsoft Limited,AS8075 Microsoft Corporation,W1*,51.51,-0.13,1
England,United Kingdom,Microsoft Corporation,Microsoft Azure Cloud (uksouth),AS8075 Microsoft Corporation,EC******,51.51,-0.08,1
England,United Kingdom,Microsoft Corporation,Microsoft Limited,AS8075 Microsoft Corporation,W1*,51.51,-0.13,3
England,United Kingdom,Oracle Svenska AB,Oracle Corporation,AS43894 Oracle Svenska AB,W1*,51.51,-0.13,1
England,United Kingdom,Portfast Ltd,Portfast Ltd,AS8916 Portfast Ltd,S7***,53.35,-1.49,1
England,United Kingdom,Satellite Mediaport Services Ltd.,Satellite Mediaport Services Ltd,AS13126 Satellite Mediaport Services Ltd.,CV******,52.36,-1.33,1
England,United Kingdom,Sky UK Limited,Sky Broadband,AS5607 Sky UK Limited,LA**,54.11,-3.25,1
England,United Kingdom,Sky UK Limited,Sky Broadband,AS5607 Sky UK Limited,SE**,51.46,-0.05,1
England,United Kingdom,TalkTalk,Carphone Warehouse Broadband Services,AS13285 TalkTalk Communications Limited,BS*,51.46,-2.55,1
England,United Kingdom,TalkTalk,Carphone Warehouse Broadband Services,AS13285 TalkTalk Communications Limited,NW*,51.56,-0.23,1
England,United Kingdom,TalkTalk,TalkTalk Communications Limited,AS13285 TalkTalk Communications Limited,LE*,52.65,-1.09,1
England,United Kingdom,TalkTalk,TalkTalk Communications Limited,AS31655 Gamma Telecom Holdings Ltd,W1*,51.51,-0.13,1
England,United Kingdom,TalkTalk Communications Limited,Opalnet,AS9105 TalkTalk Communications Limited,LE**,52.77,-1.2,1
England,United Kingdom,Telefonica UK Limited,Currently in query,AS35228 Telefonica UK Limited,SL*,51.52,-0.63,1
England,United Kingdom,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd,SW*,51.51,-0.13,1
England,United Kingdom,UBS AG,UBS AG,AS17071 UBS AG,W1*,51.51,-0.13,1
England,United Kingdom,Verizon Business,Verizon Nederland B.V.,AS702 Verizon Business,W1*,51.51,-0.13,1
England,United Kingdom,Verizon Nederland B.V.,network EU-UUNET,AS702 Verizon Business,W1*,51.51,-0.13,1
England,United Kingdom,Virgin Media Business,Virgin Media Limited,AS5089 Virgin Media Limited,SS*,51.55,0.7,1
England,United Kingdom,Virgin Media Limited,Senior Internet Ltd,AS5089 Virgin Media Limited,NG**,52.95,-1.01,1
England,United Kingdom,Virgin Media Limited,Vmcbbuk,AS5089 Virgin Media Limited,DN**,53.56,-0.08,1
England,United Kingdom,Vodafone,Vodafone Limited,AS5378 Vodafone Limited,DL*,54.55,-1.59,1
England,United Kingdom,Xerox Corporation,Xerox Corporation,AS26662 XEROX CORPORATION,W1*,51.51,-0.13,1
Federal District,Brazil,Servico Federal De Processamento De Dados - Serpro,Servico Federal De Processamento De Dados - Serpro,AS10954 SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,70***,-15.78,-47.93,1
Federal District,Brazil,TELEFÔNICA BRASIL S.A,Global Village Telecom,AS18881 TELEFÔNICA BRASIL S.A,70***,-15.78,-47.93,1
Federal District,Brazil,TELEFÔNICA BRASIL S.A,Global Village Telecom,AS18881 TELEFÔNICA BRASIL S.A,71***,-15.78,-47.78,1
Federal District,Brazil,V tal,V tal,AS8167 V tal,72***,-15.67,-48.21,1
Flanders,Belgium,Mobistar Cable,Mobistar Enterprise Services,AS47377 Orange Belgium SA,20**,51.22,4.39,1
Flanders,Belgium,Proximus,Proximus SA,AS5432 Proximus NV,20**,51.22,4.39,1
Florida,United States,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",33***,25.77,-80.19,1
Florida,United States,"Arachnitec, INC.",High Speed Web/Genesis 2 Networks,"AS6921 Arachnitec, INC.",32***,30.33,-81.66,1
Florida,United States,Breezeline,"Atlantic Broadband Finance, LLC",AS11776 Breezeline,33***,25.94,-80.14,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",32***,28.39,-81.42,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",32***,28.58,-81.44,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",32***,28.66,-81.41,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",33***,27.82,-82.68,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",33***,27.86,-82.82,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",33***,28.07,-81.81,2
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",34***,27.47,-82.62,1
Florida,United States,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",34***,28.36,-82.68,1
Florida,United States,Columbus Networks USA,Flamingo Television Bonaire,"AS23520 Columbus Networks USA, Inc.",33***,25.76,-80.19,1
Florida,United States,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS20214 Comcast Cable Communications, LLC",33***,26.52,-80.06,1
Florida,United States,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS20214 Comcast Cable Communications, LLC",33***,26.66,-80.17,1
Florida,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC",33***,25.81,-80.23,1
Florida,United States,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc","AS243 L3Harris Technologies, Inc.",32***,28.09,-80.64,1
Florida,United States,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.","AS243 L3Harris Technologies, Inc.",32***,28.09,-80.64,1
Florida,United States,Mediacom Communications,demia005cm9,AS30036 Mediacom Communications Corp,32***,30.66,-87.05,1
Florida,United States,"Omnispring, LLC",1.org.omnispring.com,"AS32083 Omnispring, LLC",32***,28.52,-81.36,1
Florida,United States,Sprint Communications,Sprint Orlando POP,AS1239 Sprint,32***,28.54,-81.37,1
Florida,United States,University of Central Florida,University of Central Florida,AS7939 University of Central Florida,32***,28.6,-81.2,1
Florida,United States,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,33***,25.94,-80.31,1
Free and Hanseatic City of Hamburg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,22***,53.56,9.8,1
Free and Hanseatic City of Hamburg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,22***,53.6,10.05,1
Free and Hanseatic City of Hamburg,Germany,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH,20***,53.55,9.99,1
Free and Hanseatic City of Hamburg,Germany,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG,22***,53.58,10.02,1
Free and Hanseatic City of Hamburg,Germany,freenet Datenkommunikations GmbH,freenet Datenkommunikations GmbH,AS5430 freenet Datenkommunikations GmbH,22***,53.6,9.99,1
Fujian,China,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE,36****,24.48,118.09,1
Fukushima,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,96******,37.76,140.48,1
Gangwon-do,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,25*,37.75,128.88,1
Gauteng,South Africa,Cell C (Pty) Ltd,CELLC Corporate,AS37168 Cell C (Pty) Ltd,81***,-25.76,28.26,1
Gauteng,South Africa,Dimension Data,Dimension Data,AS3741 Dimension Data,21**,-26.23,28.06,1
Gauteng,South Africa,MTN SA,MTN SA,AS12091 MTN SA,20**,-26.15,27.93,1
Gauteng,South Africa,Telkom SA Ltd.,Telkom SA Limited,AS5713 Telkom SA Ltd.,18*,-25.75,28.23,1
Georgia,United States,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC,30***,33.75,-84.39,1
Georgia,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",30***,33.94,-84.08,1
Georgia,United States,"AT&T Services, Inc.",AT&T Mobility LLC,"AS7018 AT&T Services, Inc.",30***,33.76,-84.39,1
Georgia,United States,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,30***,33.75,-84.39,1
Georgia,United States,BellSouth.net Inc.,GSP ADSL EEUA,AS8075 Microsoft Corporation,30***,33.82,-84.37,1
Georgia,United States,Board of Regents of the University System of Georgia,Board of Regents of the University System of Georgia,AS3479 Board of Regents of the University System of Georgia,30***,33.73,-84.1,1
Georgia,United States,FTBENNING,USAISC,AS367 DoD Network Information Center,31***,32.53,-84.93,1
Georgia,United States,GTT,FreightCheck LLC,AS3257 GTT Communications Inc.,30***,33.76,-84.39,1
Georgia,United States,Georgia Technology Authority,Georgia Technology Authority,AS2897 Georgia Technology Authority,30***,33.75,-84.39,1
Georgia,United States,Georgia Technology Authority,Georgia Technology Authority,AS2897 Georgia Technology Authority,31***,32.89,-83.74,1
Georgia,United States,Mediacom Communications Corp,Mediacom Communications Corp,AS30036 Mediacom Communications Corp,31***,31.55,-84.08,1
Georgia,United States,NCR Corporation,NCR Corporation,AS14962 NCR Corporation,30***,33.78,-84.39,2
Georgia,United States,Spectrum,Road Runner,AS11426 Charter Communications Inc,30***,33.75,-84.39,1
Georgia,United States,Verizon Business,Verizon Business,AS22394 Verizon Business,30***,33.8,-84.39,1
Georgia,United States,"Wayport, LLC","Wayport, LLC",AS14654 AT&T Corp.,30***,33.75,-84.39,1
Gifu,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,50******,35.42,136.76,1
Goiás,Brazil,V tal,V tal,AS8167 V tal,74***,-16.84,-49.25,1
Goiás,Brazil,V tal,V tal,AS8167 V tal,74***,-16.56,-49.21,1
Guangdong,China,China Internet Network Information Center,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited,51****,22.54,114.06,3
Guangdong,China,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",51****,22.54,114.06,1
Guangdong,China,China Mobile communications corporation,China Mobile,"AS9808 China Mobile Communications Group Co., Ltd.",51****,22.54,114.06,1
Guangdong,China,China Mobile communications corporation,China Mobile Communications Corporation - shanghai company,"AS9808 China Mobile Communications Group Co., Ltd.",51****,22.54,114.06,1
Guizhou,China,Chinanet,Chinanet GZ,AS4134 CHINANET-BACKBONE,55****,26.65,106.63,1
Gujarat,India,BSNL Internet,NIB,AS9829 National Internet Backbone,39****,22.3,73.2,1
Gunma,Japan,SUN FIELD INTERNET,"RYOMO INTERNET DATACENTER Co., Ltd",AS23785 SUN FIELD INTERNET LIMITED,37******,36.39,139.32,1
Gwangju,South Korea,SK Broadband Co Ltd,broadNnet,AS9318 SK Broadband Co Ltd,61***,35.15,126.92,1
Gyeonggi-do,South Korea,CJ Hello Co.,HVBucheon,AS17839 LG HelloVision Corp.,14*,37.5,126.78,1
Gyeonggi-do,South Korea,DACOM-PUBNETPLUS,Pubnetplus,AS9316 DACOM-PUBNETPLUS,14*,37.5,126.78,1
Gyeonggi-do,South Korea,Jeollanamdo Educational Research Information Institute,Korea Telecom,AS38681 Jeollanamdo Educational Research Information Institute,13***,37.36,127.12,1
Gyeonggi-do,South Korea,Korea Telecom,Korea Telecom,AS4766 Korea Telecom,13***,37.36,127.12,2
Gyeonggi-do,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,12*,37.75,127.19,1
Gyeonggi-do,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,13***,37.36,127.12,5
Gyeonggi-do,South Korea,LG DACOM Corporation,Boranet,AS3786 LG DACOM Corporation,14***,37.39,126.94,1
Gyeonggi-do,South Korea,LG POWERCOMM,DACOM-PUBNETPLUS,AS17858 LG POWERCOMM,17*,36.99,126.93,1
Gyeonggi-do,South Korea,LG POWERCOMM,LG POWERCOMM,AS17858 LG POWERCOMM,18*,37.21,126.82,1
Gyeonggi-do,South Korea,Nielsen Consumer LLC,Kornet,AS16477 Nielsen Consumer LLC,13***,37.36,127.12,1
Gyeonggi-do,South Korea,SK Broadband Co Ltd,SK Broadband Co Ltd,AS9318 SK Broadband Co Ltd,16*,37.3,127.08,1
Gyeonggi-do,South Korea,SK Broadband Co Ltd,broadNnet,AS9318 SK Broadband Co Ltd,10*,37.68,126.76,1
Gyeonggi-do,South Korea,SK Broadband Co Ltd,broadNnet,AS9318 SK Broadband Co Ltd,13*,37.38,127.11,1
Gyeonggi-do,South Korea,SamsungSDS Inc.,Samsungsds,AS6619 SamsungSDS Inc.,56**,37.52,127.1,1
Gyeongsangnam-do,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,51*,35.17,128.83,1
Gävleborg County,Sweden,Microsoft Corporation,Microsoft Azure Cloud (swedencentral),AS8075 Microsoft Corporation,80****,60.67,17.15,1
Halland County,Sweden,Telia Company AB,Telia Network Services,AS3301 Telia Company AB,43****,57.11,12.25,1
Haryana,India,Ttsl KOL ILL,Tata Teleservices Limited,AS45820 Tata Teleservices ISP AS,12****,28.35,76.93,1
Hatay,Türkiye,Avea Iletisim Hizmetleri,Avea Iletisim Hizmetleri A.S,AS20978 TT Mobil Iletisim Hizmetleri A.S,31***,36.21,36.16,1
Hauts-de-France,France,Free Mobile SAS,Free Mobile,AS51207 Free Mobile SAS,59***,50.58,3.12,1
Hauts-de-France,France,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS,62***,50.95,1.85,1
Hawaii,United States,DoD Network Information Center,Navy Network Information Center,AS647 DoD Network Information Center,96***,21.31,-157.86,1
Hawaii,United States,State of Hawaii,University of Hawaii,AS62712 State of Hawaii,96***,21.3,-157.82,1
Hawaii,United States,SystemMetrics Corporation,Enovatel LLC,AS21686 SystemMetrics Corporation,96***,21.31,-157.86,1
Heilongjiang,China,China Mobile communications corporation,China Mobile,AS132525 HeiLongJiang Mobile Communication Company Limited,15****,45.76,126.64,1
Heilongjiang,China,Chinanet,Communication Corporation,AS4134 CHINANET-BACKBONE,15****,45.74,126.66,1
Henan,China,China Mobile communications corporation,China Mobile Communications Corporation,"AS24445 Henan Mobile Communications Co.,Ltd",45****,34.75,113.62,1
Heredia Province,Costa Rica,Instituto Costarricense de Electricidad y Telecom.,San Pedro,AS11830 Instituto Costarricense de Electricidad y Telecom.,40***,9.97,-84.17,1
Hesse,Germany,1&1 Versatel Deutschland GmbH,Versatel Deutschland,AS8881 1&1 Versatel Deutschland GmbH,60***,50.11,8.68,1
Hesse,Germany,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH,65***,50.13,8.57,1
Hesse,Germany,AXESS Networks Solutions Germany GmbH,Customer AXESS EMEA,AS39151 AXESS Networks Solutions Germany GmbH,60***,50.11,8.68,1
Hesse,Germany,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",60***,50.11,8.68,3
Hesse,Germany,Amazon.com,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",60***,50.11,8.68,1
Hesse,Germany,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited,60***,50.12,8.68,1
Hesse,Germany,Deutsche Post AG,Deutsche Post AG,AS12291 Deutsche Post AG,60***,50.11,8.68,1
Hesse,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,60***,50.11,8.68,2
Hesse,Germany,Deutsche Telekom AG,mais GmbH,AS3320 Deutsche Telekom AG,60***,50.11,8.68,1
Hesse,Germany,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,60***,50.11,8.68,1
Hesse,Germany,Equinix Frankfurt,Equinix (Germany) GmbH,AS15830 Equinix (EMEA) Acquisition Enterprises B.V.,60***,50.1,8.63,1
Hesse,Germany,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc,60***,50.12,8.68,1
Hesse,Germany,Microsoft Corporation,Microsoft Azure Cloud (germanywestcentral),AS8075 Microsoft Corporation,60***,50.11,8.68,1
Hesse,Germany,NETHINKS GmbH,NETHINKS GmbH,AS8319 NETHINKS GmbH,36***,50.55,9.68,1
Hesse,Germany,Telekom Deutschland GmbH,Telekom Deutschland GmbH,AS3320 Deutsche Telekom AG,60***,50.11,8.68,2
Hesse,Germany,U.S. Department of Defense Education Activity,U.S. Department of Defense Education Activity,AS6595 U.S. Department of Defense Education Activity,60***,50.11,8.68,1
Hesse,Germany,Vodafone Global Enterprise Inc.,Vodafone D2 GmbH,AS3209 Vodafone GmbH,65***,50.13,8.58,1
Hesse,Germany,marbis GmbH,Marbis Defra,AS199610 marbis GmbH,60***,50.1,8.63,1
Hiroshima,Japan,"Energia Communications, Inc.",Yasuda Womens University Junior College,"AS7670 Enecom,Inc.",73******,34.39,132.45,1
Hokkaido,Japan,Kddi Corporation,KDDI,AS2516 KDDI CORPORATION,09******,44.3,142.65,1
Hunan,China,Chinanet,Chinanet HN,AS4134 CHINANET-BACKBONE,41****,27.63,111.86,1
Hyōgo,Japan,OPTAGE Inc.,OPTAGE Inc.,AS17511 OPTAGE Inc.,66******,34.8,135.4,1
Hyōgo,Japan,"Research Organization of Information and Systems, National Institute of Informa",Konan University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",65******,34.69,135.18,1
Iași County,Romania,Orange Romania Network,Orange Romania S.A,AS8953 Orange Romania S.A.,70****,47.17,27.61,1
Ibaraki,Japan,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,30******,35.9,140.09,1
Idaho,United States,Wholesail networks LLC,Ziply Fiber,AS20055 Wholesail networks LLC,83***,44.89,-116.07,1
Illinois,United States,AT&T Mobility LLC,AT&T Mobility LLC,AS46164 AT&T Mobility LLC,60***,41.88,-87.63,1
Illinois,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",60***,41.8,-88.01,1
Illinois,United States,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc.",60***,41.88,-87.63,1
Illinois,United States,"AT&T Services, Inc.","HYPER-IT SERVICES, LLC","AS7018 AT&T Services, Inc.",60***,41.77,-88.34,1
Illinois,United States,"AT&T Services, Inc.",PPPoX Pool Rback3 EMHRIL,"AS7018 AT&T Services, Inc.",60***,41.9,-87.94,1
Illinois,United States,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory,60***,41.72,-87.98,1
Illinois,United States,Charter Communications,Spectrum,AS20115 Charter Communications,62***,38.81,-89.96,1
Illinois,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33491 Comcast Cable Communications, LLC",60***,41.62,-87.84,1
Illinois,United States,Eagle Wireless LLC,Eagle Wireless LLC,AS400435 Eagle Wireless LLC,62***,38.98,-88.17,1
Illinois,United States,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.,60***,41.88,-87.63,1
Illinois,United States,Illinois Century Network,Illinois Century Network,AS6325 Illinois Century Network,62***,39.8,-89.66,1
Illinois,United States,"Inteliquent, inc.","Inteliquent, inc","AS5006 Inteliquent, inc.",60***,41.88,-87.64,1
Illinois,United States,"Motorola, Inc.",Motorola MNIC,"AS19773 Motorola, Inc.",60***,42.07,-88.06,1
Illinois,United States,Netflix Streaming Services Inc.,Netflix Streaming Services Inc,AS2906 Netflix Streaming Services Inc.,60***,41.88,-87.63,1
Illinois,United States,Nokia of America Corporation,Nokia of America Corporation,AS10455 Nokia of America Corporation,60***,41.89,-87.63,2
Illinois,United States,Northwestern Memorial Hospital,Northwestern Memorial Hospital,AS19247 Northwestern Memorial Hospital,60***,41.89,-87.62,1
Illinois,United States,Rackspace Hosting,Rackspace Hosting,AS19994 Rackspace Hosting,60***,41.88,-87.63,1
Illinois,United States,Sargent & Lundy Engineers,Sargent & Lundy Engineers,AS26551 Sargent & Lundy Engineers,60***,41.94,-87.65,1
Illinois,United States,Sprint,Sprint,AS1239 Sprint,60***,41.88,-87.63,1
Illinois,United States,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",60***,41.88,-87.63,7
Illinois,United States,The University of Chicago,University of Chicago,AS160 The University of Chicago,60***,41.87,-87.66,1
Illinois,United States,United States Cellular Telephone Company,Service Provider Corporation,"AS6614 UNITED STATES CELLULAR TELEPHONE COMPANY (GREATER KNOXVILLE), L.P.",60***,41.88,-87.63,2
Illinois,United States,Verizon Business,Service Provider Corporation,AS6167 Verizon Business,60***,41.73,-87.83,1
Illinois,United States,Verizon Business,Service Provider Corporation,AS6167 Verizon Business,60***,41.92,-87.75,1
Illinois,United States,Verizon Business,Verizon Business,AS6167 Verizon Business,60***,42.05,-87.89,1
Illinois,United States,Verizon Business,Verizon Business,AS701 Verizon Business,60***,41.85,-87.62,2
Illinois,United States,Webpass Inc.,Webpass Inc.,AS19165 Webpass Inc.,60***,41.87,-87.63,1
Incheon,South Korea,DACOM-PUBNETPLUS,Pubnetplus,AS17858 LG POWERCOMM,21*,37.39,126.71,1
Incheon,South Korea,Korea Telecom,KORNET,AS4766 Korea Telecom,22*,37.51,126.66,1
Incheon,South Korea,Korea Telecom,Korea Telecom,AS4766 Korea Telecom,21*,37.51,126.72,1
Incheon,South Korea,Korea Telecom,Korea Telecom,AS4766 Korea Telecom,21***,37.5,126.71,1
Incheon,South Korea,SK Broadband Co Ltd,NQ Games Co,AS9318 SK Broadband Co Ltd,22*,37.51,126.66,1
Indiana,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",46***,39.59,-86.37,1
Indiana,United States,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc.",46***,39.77,-86.16,1
Indiana,United States,Eli Lilly and Company,Eli Lilly and Company,AS4249 Eli Lilly and Company,46***,39.76,-86.15,5
Indiana,United States,Intelligent Fiber Network,Washington County RTC,AS3131 Tele-Media Solutions,47***,38.49,-86.01,1
Indiana,United States,Purdue University,Purdue University,AS397501 Purdue University,47***,40.42,-86.91,1
Indiana,United States,Purdue University,Purdue University Northwest,AS17 Purdue University,46***,41.7,-86.87,1
Iowa,United States,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC",52***,41.95,-91.69,1
Iowa,United States,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation,50***,41.59,-93.62,1
Iowa,United States,Sprint,CIS Internet Services,AS1239 Sprint,52***,41.87,-90.18,1
Istanbul,Turkey,Ereey Grup Bilisim Teknolojileri Tic. Ltd. Sti.,Ereey Network,AS205961 EREEY GRUP BILISIM TEKNOLOJILERI TIC. LTD. STI.,34***,40.98,29.1,1
Istanbul,Turkey,Superonline Iletisim Hizmetleri A.S.,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.,34***,40.92,29.18,1
Istanbul,Türkiye,TurkTelecom,Turk Telekomunikasyon A.S,AS47331 TTNet A.S.,34***,41.02,28.93,1
Istanbul,Türkiye,Vodafone Net DSL - ERENKOY,Vodafone Telekomunikasyon A.S.,AS15897 Vodafone Telekomunikasyon A.S.,34***,41.02,28.93,1
Istanbul,Türkiye,descr Avea Iletisim Hizmetleri,Avea Iletisim Hizmetleri A.S,AS20978 TT Mobil Iletisim Hizmetleri A.S,34***,41.02,28.93,1
Iwate,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,02******,39.7,141.15,1
Jalisco,Mexico,"Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V","AS13999 Mega Cable, S.A. de C.V.",44***,20.64,-103.44,1
Jalisco,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,45***,20.52,-103.2,1
Jalisco,Mexico,Universidad de Guadalajara,Universidad de Guadalajara,AS2549 Universidad de Guadalajara,45***,20.61,-103.36,1
Jeollanam-do,South Korea,Korea Telecom,Jeonnambonbujang,AS4766 Korea Telecom,58*,35.03,126.71,1
Jiangsu,China,China Mobile communications corporation,China Mobile,AS56046 China Mobile communications corporation,21****,31.3,120.58,1
Jiangsu,China,China Telecom,Chinanet JS,AS140292 CHINATELECOM Jiangsu province Suzhou 5G network,21****,32.06,118.76,1
Jiangsu,China,Chinanet,Chinanet JS,AS4134 CHINANET-BACKBONE,21****,32.06,118.76,3
Jihocesky kraj,Czechia,Vodafone Czech Republic a.s.,Vodafone Czech Republic,AS16019 Vodafone Czech Republic a.s.,37****,48.93,14.44,1
