City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
Bremen,Bremen,Germany,28195,53.0832,8.78828,Europe/Berlin,Deutsche Telekom AG,Other,AS3320 Deutsche Telekom AG,80.xxx.xxx.xxx
Virginia,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Other,AS8075 Microsoft Corporation,20.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,30.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1188,8.6843,Europe/Berlin,Hivelocity Inc,Other,AS61317 Hivelocity Inc,179.xxx.xxx.xxx
Texas,Texas,United States,78741,30.2304,-97.7243,America/Chicago,Google Fiber Inc.,Other,AS16591 Google Fiber Inc.,136.xxx.xxx.xxx
Ontario,Ontario,Canada,K9H,44.3221,-78.318,America/Toronto,Nexicom Inc.,Other,AS11666 Nexicom Inc.,192.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,TalkTalk,TalkTalk Communications Limited,,79.xxx.xxx.xxx
Illinois,Illinois,United States,60602,41.8874,-87.6318,America/Chicago,Microsoft Limited,Other,,135.xxx.xxx.xxx
Kentucky,Kentucky,United States,40219,38.1966,-85.6568,America/Kentucky/Louisville,Verizon Business,Other,AS701 Verizon Business,63.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Ryoka Systems,Other,,133.xxx.xxx.xxx
New York,New York,United States,10271,40.7085,-74.0106,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,,169.xxx.xxx.xxx
Georgia,Georgia,United States,30302,33.749,-84.388,America/New_York,AT&T Mobility LLC,Other,AS20057 AT&T Mobility LLC,166.xxx.xxx.xxx
California,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",,165.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",69.xxx.xxx.xxx
New Jersey,New Jersey,United States,8540,40.3442,-74.6635,America/New_York,Verizon Communications,Other,AS701 Verizon Business,65.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,28.xxx.xxx.xxx
Virginia,Virginia,United States,20149,39.0469,-77.4903,America/New_York,Africa on Cloud,Other,AS328608 Africa on Cloud,156.xxx.xxx.xxx
Arizona,Arizona,United States,85285,33.42,-111.9128,America/Phoenix,"Akamai Technologies, Inc.",Other,"AS16625 Akamai Technologies, Inc.",184.xxx.xxx.xxx
Auckland,Auckland,New Zealand,627,-36.8017,174.7533,Pacific/Auckland,Sky Network Television Ltd,Other,AS140220 Sky Network Television Ltd,60.xxx.xxx.xxx
Seoul,Seoul,South Korea,10,37.6445,127.0037,Asia/Seoul,Korea Telecom,Other,AS4766 Korea Telecom,121.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7.xxx.xxx.xxx
Texas,Texas,United States,75214,32.8242,-96.7507,America/Chicago,"Haynes and Boone, L.L.P.",Other,"AS14890 Haynes and Boone, L.L.P.",165.xxx.xxx.xxx
Guangdong,Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,,202.xxx.xxx.xxx
Maharashtra,Maharashtra,India,400078,19.0748,72.8856,Asia/Kolkata,Bharti Airtel Limited,Other,AS45609 Bharti Airtel Ltd. AS for GPRS Service,106.xxx.xxx.xxx
Maryland,Maryland,United States,20904,39.068,-76.9933,America/New_York,Verizon Business,Other,AS6167 Verizon Business,166.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,21.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Toyota Industries Corporation,Other,,133.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,21.xxx.xxx.xxx
North Carolina,North Carolina,United States,28574,34.8611,-77.5885,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications,47.xxx.xxx.xxx
Taiwan,Taiwan,Taiwan,,25.0446,121.561,Asia/Taipei,Taiwan Fixed Network,Other,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider.",202.xxx.xxx.xxx
Leinster,Leinster,Ireland,D02,53.3498,-6.26031,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",54.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc.",32.xxx.xxx.xxx
California,California,United States,94107,37.721,-122.391,America/Los_Angeles,Fastly,Other,,157.xxx.xxx.xxx
Ohio,Ohio,United States,45201,39.1032,-84.5053,America/New_York,The Procter and Gamble Company,Other,AS11003 The Procter and Gamble Company,143.xxx.xxx.xxx
Santiago Metropolitan,Santiago Metropolitan,Chile,8580000,-33.3829,-70.6214,America/Santiago,Claro Chile S.A.,Other,AS27995 CLARO CHILE S.A.,179.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center,132.xxx.xxx.xxx
