City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
Zurich,Zurich,Switzerland,8302,47.4541,8.5648,Europe/Zurich,Provider:Swisscom IP-Plus,Other,AS559 SWITCH,141.xxx.xxx.xxx
Zhejiang,Zhejiang,China,310000,30.0464,119.954,Asia/Shanghai,Chinanet,Other,AS4134 CHINANET-BACKBONE,220.xxx.xxx.xxx
Rio Grande do Sul,Rio Grande do Sul,Brazil,,-30.0273,-51.2353,America/Sao_Paulo,Universidade Federal do Rio Grande do Sul,Other,AS19200 Universidade Federal do Rio Grande do Sul,143.xxx.xxx.xxx
Georgia,Georgia,United States,30302,33.749,-84.388,America/New_York,Spectrum,Other,AS11426 Charter Communications Inc,65.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CTNOSC,USAISC,AS367 DoD Network Information Center,155.xxx.xxx.xxx
Illinois,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",100.xxx.xxx.xxx
Australian Capital Territory,Australian Capital Territory,Australia,2609,-35.3434,149.158,Australia/Sydney,AUSLIG,Other,,143.xxx.xxx.xxx
Quebec,Quebec,Canada,H3T,45.5024,-73.6174,America/Toronto,Reseau d'Informations Scientifiques du Quebec (RISQ Inc.),Other,AS376 Reseau d'Informations Scientifiques du Quebec (RISQ Inc.),132.xxx.xxx.xxx
New York,New York,United States,10271,40.7085,-74.0106,America/New_York,Mediaocean LLC,Other,,168.xxx.xxx.xxx
Alberta,Alberta,Canada,T5J,53.5409,-113.507,America/Edmonton,Reserved AS,Other,AS23448 ASN-EPCOR,146.xxx.xxx.xxx
Tehran,Tehran,Iran,,35.7198,51.4291,Asia/Tehran,Sepanta Internet and MPLS Service Provider,Other,AS39074 Sepanta Communication Development Co. Ltd,85.xxx.xxx.xxx
Madrid,Madrid,Spain,28044,40.3765,-3.7592,Europe/Madrid,Entidad Publica Empresarial Red.es,Other,AS766 Entidad Publica Empresarial Red.es,138.xxx.xxx.xxx
Kanagawa,Kanagawa,Japan,225-0021,35.5641,139.5295,Asia/Tokyo,UCOM Corp.,Other,AS17506 ARTERIA Networks Corporation,122.xxx.xxx.xxx
Tamil Nadu,Tamil Nadu,India,600001,13.0827,80.2707,Asia/Kolkata,SoftLayer,Other,AS36351 SoftLayer Technologies Inc.,169.xxx.xxx.xxx
British Columbia,British Columbia,Canada,V7E,49.1297,-123.1658,America/Vancouver,University of British Columbia,Other,AS393249 University of British Columbia,137.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,55.xxx.xxx.xxx
Beijing,Beijing,China,,39.9786,116.302,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited,129.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,ITOCHU Techno-Solutions Corporation,Other,AS9993 ITOCHU Techno-Solutions Corporation,157.xxx.xxx.xxx
Ohio,Ohio,United States,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",18.xxx.xxx.xxx
Mexico City,Mexico City,Mexico,4530,19.2974,-99.1842,America/Mexico_City,UNINET,UNINET,,187.xxx.xxx.xxx
Kentucky,Kentucky,United States,41051,38.9345,-84.5481,America/New_York,Fuse Internet Access,Other,AS6181 Cincinnati Bell Telephone Company LLC,72.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,,25.xxx.xxx.xxx
Shaanxi,Shaanxi,China,,35.394,109.188,Asia/Shanghai,Chinanet,Chinanet SN,AS4134 CHINANET-BACKBONE,113.xxx.xxx.xxx
Washington,Washington,United States,98006,47.5767,-122.167,America/Los_Angeles,"T-Mobile USA, Inc.",Other,"AS21928 T-Mobile USA, Inc.",162.xxx.xxx.xxx
Michigan,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,19.xxx.xxx.xxx
Île-de-France,Île-de-France,France,92000,48.8902,2.21339,Europe/Paris,Electricite de France SA,Other,,163.xxx.xxx.xxx
Capital Region,Capital Region,Denmark,2500,55.6571,12.4979,Europe/Copenhagen,DXC Technology Danmark,Other,,159.xxx.xxx.xxx
Washington,Washington,United States,98052,47.6423,-122.137,America/Los_Angeles,Microsoft Corporation,Other,AS8075 Microsoft Corporation,40.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Corporation,,52.xxx.xxx.xxx
Illinois,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,A100 ROW Inc,A100 ROW Inc,,51.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS209 CenturyLink Communications, LLC",65.xxx.xxx.xxx
Shandong,Shandong,China,,36.6756,117.0211,Asia/Shanghai,China Mobile communications corporation,Other,AS24444 Shandong Mobile Communication Company Limited,111.xxx.xxx.xxx
Dubai,Dubai,United Arab Emirates,171103,25.266666,55.316666,Asia/Dubai,Microsoft Corporation,Other,AS8075 Microsoft Corporation,4.xxx.xxx.xxx
North Chungcheong,North Chungcheong,South Korea,286,36.6378,127.4723,Asia/Seoul,Korea Telecom,Other,AS4766 Korea Telecom,220.xxx.xxx.xxx
Istanbul,Istanbul,Türkiye,34015,41.0247,28.9252,Europe/Istanbul,TurkTelecom,Other,AS47331 TTNet A.S.,88.xxx.xxx.xxx
Washington,Washington,United States,99352,46.3487,-119.275,America/Los_Angeles,ESnet,Other,AS292 ESnet,198.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,"Hangzhou Alibaba Advertising Co., Ltd.",Aliyun Computing Co.,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",43.xxx.xxx.xxx
New Jersey,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,48.xxx.xxx.xxx
Antioquia,Antioquia,Colombia,50043,6.2529,-75.5646,America/Bogota,Telmex Colombia S.A.,Other,AS10620 Telmex Colombia S.A.,181.xxx.xxx.xxx
Florida,Florida,United States,33160,25.9442,-80.1406,America/New_York,Breezeline,Other,AS11776 Breezeline,159.xxx.xxx.xxx
Leinster,Leinster,Ireland,D02,53.3498,-6.26031,Europe/Dublin,"Amazon.com, Inc.",Other,"AS16509 Amazon.com, Inc.",155.xxx.xxx.xxx
Île-de-France,Île-de-France,France,75020,48.8323,2.4075,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,Other,AS15557 Societe Francaise Du Radiotelephone - SFR SA,93.xxx.xxx.xxx
West Virginia,West Virginia,United States,25801,37.797,-81.1979,America/New_York,Frontier Communications Solutions,Other,"AS5650 Frontier Communications of America, Inc.",184.xxx.xxx.xxx
England,England,United Kingdom,LE1 9BH,52.6295,-1.13804,Europe/London,Jisc Services Limited,Other,AS786 Jisc Services Limited,146.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,139.xxx.xxx.xxx
Hesse,Hesse,Germany,36037,50.5533,9.68158,Europe/Berlin,NETHINKS GmbH,Other,AS8319 NETHINKS GmbH,195.xxx.xxx.xxx
Lazio,Lazio,Italy,187,41.8931,12.4026,Europe/Rome,Telecom Italia S.p.A. TIN EASY LITE,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,79.xxx.xxx.xxx
Central and Western District,Central and Western District,Hong Kong,,22.3193,114.1693,Asia/Hong_Kong,ADA Digital Global Inc,Other,AS5065 Bunny Communications,154.xxx.xxx.xxx
Connecticut,Connecticut,United States,6851,41.1424,-73.4273,America/New_York,Xerox Corporation,Other,,13.xxx.xxx.xxx
Georgia,Georgia,United States,30324,33.8229,-84.3686,America/New_York,BellSouth.net Inc.,Other,AS8075 Microsoft Corporation,72.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,146.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Limited,AS8075 Microsoft Corporation,48.xxx.xxx.xxx
California,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,15.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,55.xxx.xxx.xxx
Michigan,Michigan,United States,48108,42.2139,-83.745,America/Detroit,Merit Network Inc.,Merit Network Inc,,35.xxx.xxx.xxx
New Jersey,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,48.xxx.xxx.xxx
Washington,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc.",,16.xxx.xxx.xxx
British Columbia,British Columbia,Canada,V1Y,49.8956,-119.4897,America/Vancouver,Shaw Communications Inc.,Other,AS6327 Shaw Communications Inc.,24.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,30.xxx.xxx.xxx
California,California,United States,92111,32.819,-117.179,America/Los_Angeles,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",44.xxx.xxx.xxx
Georgia,Georgia,United States,31705,31.5493,-84.0818,America/New_York,Mediacom Communications Corp,Other,AS30036 Mediacom Communications Corp,173.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,55.xxx.xxx.xxx
Florida,Florida,United States,32570,30.6617,-87.048,America/Chicago,Mediacom Communications,Other,AS30036 Mediacom Communications Corp,50.xxx.xxx.xxx
California,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett-Packard Company,Hewlett-Packard Company,,15.xxx.xxx.xxx
North Rhine-Westphalia,North Rhine-Westphalia,Germany,40549,51.2352,6.73189,Europe/Berlin,Vodafone GmbH,Other,,62.xxx.xxx.xxx
Alabama,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS749 DoD Network Information Center,164.xxx.xxx.xxx
Gauteng,Gauteng,South Africa,2191,-26.2309,28.0583,Africa/Johannesburg,Dimension Data,Other,AS3741 Dimension Data,196.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A,177.xxx.xxx.xxx
Beijing,Beijing,China,,39.9136,116.363,Asia/Shanghai,China TieTong Telecommunications Corporation,China TieTong Telecommunications Corporation,AS9394 China TieTong Telecommunications Corporation,36.xxx.xxx.xxx
Washington,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,149.xxx.xxx.xxx
North Holland,North Holland,Netherlands,1047,52.3667,4.9,Europe/Amsterdam,Microsoft Corporation,Microsoft Azure Cloud (westeurope),AS8075 Microsoft Corporation,13.xxx.xxx.xxx
Iowa,Iowa,United States,,41.2619,-95.8608,America/Chicago,Google LLC,Google Cloud (us-central1),AS396982 Google LLC,35.xxx.xxx.xxx
Saitama,Saitama,Japan,332-0011,35.7949,139.7334,Asia/Tokyo,"JCOM Co., Ltd.",Other,"AS9824 JCOM Co., Ltd.",61.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS721 DoD Network Information Center,214.xxx.xxx.xxx
Florida,Florida,United States,32714,28.6623,-81.4136,America/New_York,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",50.xxx.xxx.xxx
Virginia,Virginia,United States,20147,39.0519,-77.4523,America/New_York,DXC US Latin America Corporation,DXC US Latin America Corporation,,20.xxx.xxx.xxx
North Carolina,North Carolina,United States,28412,34.157,-77.9136,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications,96.xxx.xxx.xxx
Indiana,Indiana,United States,46204,39.7709,-86.1585,America/Chicago,AT&T Services,"AT&T Services, Inc.",,135.xxx.xxx.xxx
Pennsylvania,Pennsylvania,United States,19107,39.9528,-75.1646,America/New_York,"AT&T Services, Inc.",Other,"AS7018 AT&T Services, Inc.",12.xxx.xxx.xxx
Illinois,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",162.xxx.xxx.xxx
Jiangsu,Jiangsu,China,,31.5618,120.2864,Asia/Shanghai,Chinanet,Chinanet JS,AS4134 CHINANET-BACKBONE,49.xxx.xxx.xxx
New Taipei,New Taipei,Taiwan,,24.9466,121.586,Asia/Taipei,"Chunghwa Telecom Co., Ltd.",Other,AS3462 Data Communication Business Group,114.xxx.xxx.xxx
Sichuan,Sichuan,China,,30.2638,102.805,Asia/Shanghai,Chinanet,Chinanet SC,AS4134 CHINANET-BACKBONE,125.xxx.xxx.xxx
Pennsylvania,Pennsylvania,United States,19004,40.0095,-75.2184,America/New_York,Hotwire Communications,Other,"AS3356 Level 3 Parent, LLC",8.xxx.xxx.xxx
Saitama,Saitama,Japan,335-0001,35.8292,139.6789,Asia/Tokyo,NTT-ME Corporation,Other,AS9595 NTT-ME Corporation,220.xxx.xxx.xxx
California,California,United States,94583,37.7583,-121.958,America/Los_Angeles,Chevron Corporation,Other,,146.xxx.xxx.xxx
Arizona,Arizona,United States,85742,32.4063,-111.0633,America/Phoenix,"Comcast Cable Communications, LLC",Other,"AS33653 Comcast Cable Communications, LLC",76.xxx.xxx.xxx
Texas,Texas,United States,78713,30.2672,-97.7431,America/Chicago,"SWITCH, LTD",Other,"AS23005 SWITCH, LTD",207.xxx.xxx.xxx
Texas,Texas,United States,78288,29.4227,-98.4927,America/Chicago,Aptum Technologies,Other,AS13768 Aptum Technologies,216.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,29.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,11.xxx.xxx.xxx
California,California,United States,95141,37.1835,-121.7714,America/Los_Angeles,"8x8, Inc.",Other,"AS13896 8x8, Inc.",206.xxx.xxx.xxx
District of Columbia,District of Columbia,United States,20505,38.9072,-77.0369,America/New_York,Verizon Business,Other,AS7046 Verizon Business,205.xxx.xxx.xxx
Indiana,Indiana,United States,46360,41.7011,-86.872,America/Chicago,Purdue University,Other,AS17 Purdue University,163.xxx.xxx.xxx
Louisiana,Louisiana,United States,71203,32.5896,-92.0669,America/Chicago,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC",166.xxx.xxx.xxx
Île-de-France,Île-de-France,France,75001,48.8323,2.4075,Europe/Paris,"Amazon.com, Inc.",Other,"AS16509 Amazon.com, Inc.",165.xxx.xxx.xxx
England,England,United Kingdom,S1,53.3858,-1.4616,Europe/London,ASK4 Limited,Other,AS41230 ASK4 Limited,213.xxx.xxx.xxx
England,England,United Kingdom,AL10 9BW,51.7682,-0.235824,Europe/London,EE Limited,Other,AS12576 EE Limited,46.xxx.xxx.xxx
Colorado,Colorado,United States,80134,39.489,-104.8298,America/Denver,Comcast Cable Communications,Other,"AS33652 Comcast Cable Communications, LLC",75.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,Kddi Corporation,KDDI,AS2516 KDDI CORPORATION,210.xxx.xxx.xxx
Wisconsin,Wisconsin,United States,53237,43.0382,-87.91,America/Chicago,"AT&T Services, Inc.",Other,"AS7018 AT&T Services, Inc.",75.xxx.xxx.xxx
Oregon,Oregon,United States,97005,45.5072,-122.826,America/Los_Angeles,Nike,Other,,146.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,AXESS Networks Solutions Germany GmbH,Other,AS39151 AXESS Networks Solutions Germany GmbH,213.xxx.xxx.xxx
Colorado,Colorado,United States,80921,39.0538,-104.8191,America/Denver,"VELOCITY, A MANAGED SERVICES COMPANY",Other,"AS62728 VELOCITY, A MANAGED SERVICES COMPANY",130.xxx.xxx.xxx
England,England,United Kingdom,LE5,52.6513,-1.0876,Europe/London,TalkTalk,TalkTalk Communications Limited,AS13285 TalkTalk Communications Limited,92.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS3561 CenturyLink Communications, LLC",208.xxx.xxx.xxx
Central Region,Central Region,Uganda,,0.320715,32.5884,Africa/Kampala,Airtel UG,Other,AS37075 Airtel Uganda Limited,102.xxx.xxx.xxx
Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,France,63000,45.7877,3.11234,Europe/Paris,BE YS Cloud France SASU,Other,AS200102 BE YS Cloud France SASU,185.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,"Hangzhou Alibaba Advertising Co., Ltd.",Aliyun Computing Co.,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",43.xxx.xxx.xxx
Guangdong,Guangdong,China,,23.379,113.763,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,183.xxx.xxx.xxx
Kwai Tsing,Kwai Tsing,Hong Kong,,22.3484,114.112,Asia/Hong_Kong,HGC Global Communications Limited,HGC Global Communications Limited,AS9304 HGC Global Communications Limited,223.xxx.xxx.xxx
Arizona,Arizona,United States,85303,33.5278,-112.2105,America/Phoenix,Cox Communications Inc.,Other,AS22773 Cox Communications Inc.,98.xxx.xxx.xxx
Nevada,Nevada,United States,89106,36.1788,-115.1715,America/Los_Angeles,State of Nevada,Other,AS21783 State of Nevada,167.xxx.xxx.xxx
Stockholm County,Stockholm County,Sweden,100 04,59.3293,18.0686,Europe/Stockholm,Bredband2 AB,Other,AS29518 Bredband2 AB,83.xxx.xxx.xxx
Stockholm County,Stockholm County,Sweden,100 04,59.3241,18.0517,Europe/Stockholm,Telenor Sverige AB,Other,AS2119 Telenor Norge AS,85.xxx.xxx.xxx
Nouvelle-Aquitaine,Nouvelle-Aquitaine,France,86000,46.5874,0.3332,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,Other,AS15557 Societe Francaise Du Radiotelephone - SFR SA,37.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,,25.xxx.xxx.xxx
Bavaria,Bavaria,Germany,83308,48.0149,12.5439,Europe/Berlin,Deutsche Telekom AG,Other,AS3320 Deutsche Telekom AG,93.xxx.xxx.xxx
Washington,Washington,United States,98052,47.6423,-122.137,America/Los_Angeles,Microsoft Corporation,Other,AS8075 Microsoft Corporation,40.xxx.xxx.xxx
England,England,United Kingdom,NW2,51.5591,-0.2283,Europe/London,TalkTalk,Other,AS13285 TalkTalk Communications Limited,92.xxx.xxx.xxx
Arizona,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center,6.xxx.xxx.xxx
Michigan,Michigan,United States,48170,42.3864,-83.5176,America/Detroit,Freudenberg-NOK General Parternership,Other,,137.xxx.xxx.xxx
Texas,Texas,United States,78205,29.4221,-98.4926,America/Chicago,City of San Antonio,Other,AS3709 City of San Antonio,161.xxx.xxx.xxx
California,California,United States,94404,37.5558,-122.277,America/Los_Angeles,CenturyLink Communications,Other,"AS3561 CenturyLink Communications, LLC",209.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,214.xxx.xxx.xxx
California,California,United States,92310,35.2811,-116.783,America/Los_Angeles,Goldstone (Deep Space Network) Facility,Other,AS297 National Aeronautics and Space Administration,158.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,1000,-23.6283,-46.6409,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda,189.xxx.xxx.xxx
Prague,Prague,Czechia,460 10,50.0923,14.4512,Europe/Prague,"Quantcom, a.s.",Other,"AS29208 Quantcom, a.s.",195.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,,101.xxx.xxx.xxx
Arizona,Arizona,United States,85013,33.4834,-112.077,America/Phoenix,Dignity Health,Other,,162.xxx.xxx.xxx
Central and Western District,Central and Western District,Hong Kong,,22.3193,114.1693,Asia/Hong_Kong,Google LLC,Google Cloud (asia-east2),AS15169 Google LLC,35.xxx.xxx.xxx
Australian Capital Territory,Australian Capital Territory,Australia,2600,-35.306,149.134,Australia/Sydney,Australian Crime Commission,Other,,150.xxx.xxx.xxx
Alabama,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS749 DoD Network Information Center,164.xxx.xxx.xxx
Istanbul,Istanbul,Türkiye,34010,41.0247,28.9252,Europe/Istanbul,descr Avea Iletisim Hizmetleri,Other,AS20978 TT Mobil Iletisim Hizmetleri A.S,46.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS138 DoD Network Information Center,131.xxx.xxx.xxx
Gyeonggi-do,Gyeonggi-do,South Korea,103,37.6752,126.7648,Asia/Seoul,SK Broadband Co Ltd,Other,AS9318 SK Broadband Co Ltd,1.xxx.xxx.xxx
North West,North West,Singapore,858877,1.35208,103.82,Asia/Singapore,CHINANET Guangdong province Guangzhou MAN network,Other,AS134773 CHINANET Guangdong province Guangzhou MAN network,59.xxx.xxx.xxx
Baden-Wurttemberg,Baden-Wurttemberg,Germany,79365,48.2302,7.708,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,79.xxx.xxx.xxx
Virginia,Virginia,United States,20170,38.954,-77.3862,America/New_York,Sprint,Sprint,,199.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,V tal,Other,AS7738 V tal,179.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",35.xxx.xxx.xxx
New South Wales,New South Wales,Australia,2000,-33.8715,151.2006,Australia/Sydney,SingTel Optus Pty Ltd,Other,AS4804 Microplex PTY LTD,49.xxx.xxx.xxx
Colorado,Colorado,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA,199.xxx.xxx.xxx
New Jersey,New Jersey,United States,7920,40.6953,-74.5784,America/New_York,Avaya Inc.,Other,AS18676 Avaya Inc.,135.xxx.xxx.xxx
Guangdong,Guangdong,China,,23.379,113.763,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,106.xxx.xxx.xxx
Miranda,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela",186.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Verizon Business,Other,AS701 Verizon Business,152.xxx.xxx.xxx
South Holland,South Holland,The Netherlands,3012,51.9235,4.4813,Europe/Amsterdam,Universiteit van Amsterdam,Other,AS1124 Universiteit van Amsterdam,145.xxx.xxx.xxx
Kentucky,Kentucky,United States,40356,37.8868,-84.5667,America/New_York,Windstream Communications LLC,Other,AS7029 Windstream Communications LLC,40.xxx.xxx.xxx
Tokyo,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB Corp.,AS17676 SoftBank Corp.,221.xxx.xxx.xxx
Zurich,Zurich,Switzerland,8302,47.4541,8.5648,Europe/Zurich,Provider:Swisscom IP-Plus,Other,AS559 SWITCH,141.xxx.xxx.xxx
Ohio,Ohio,United States,44192,41.4993,-81.6944,America/New_York,Cogent Communications,Other,AS174 Cogent Communications,38.xxx.xxx.xxx
Mississippi,Mississippi,United States,39205,32.2988,-90.1848,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",72.xxx.xxx.xxx
Florida,Florida,United States,32003,30.1029,-81.7104,America/New_York,Bank of America,Other,,155.xxx.xxx.xxx
Tokyo,Tokyo,Japan,150-0002,35.6895,139.692,Asia/Tokyo,Amazon Technologies Inc.,AWS EC2 (ap-northeast-1),"AS16509 Amazon.com, Inc.",52.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,205.xxx.xxx.xxx
Guangdong,Guangdong,China,,23.0261,113.1371,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,121.xxx.xxx.xxx
British Columbia,British Columbia,Canada,V0N,50.5833,-126.9167,America/Vancouver,Shaw Communications Inc.,Other,AS6327 Shaw Communications Inc.,70.xxx.xxx.xxx
Texas,Texas,United States,77498,29.643,-95.6443,America/Chicago,Windstream Communications LLC,Other,AS7029 Windstream Communications LLC,173.xxx.xxx.xxx
Texas,Texas,United States,77471,29.5523,-95.7969,America/Chicago,PRAIRIE VIEW A&M UNIVERSITY,Other,AS46335 PRAIRIE VIEW A&M UNIVERSITY,129.xxx.xxx.xxx
West Virginia,West Virginia,United States,25801,37.797,-81.1979,America/New_York,Suddenlink Communications,Other,AS19108 Optimum,50.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",99.xxx.xxx.xxx
Tokyo,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB Corp.,AS17676 SoftBank Corp.,221.xxx.xxx.xxx
District of Columbia,District of Columbia,United States,20418,38.907,-77.0526,America/New_York,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications,38.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Deutsche Post AG,Other,AS12291 Deutsche Post AG,160.xxx.xxx.xxx
Pennsylvania,Pennsylvania,United States,19099,40.0084,-75.1935,America/New_York,"University of California, San Diego",Other,"AS7377 University of California, San Diego",44.xxx.xxx.xxx
Illinois,Illinois,United States,60657,41.9409,-87.6532,America/Chicago,Sargent & Lundy Engineers,Other,AS26551 Sargent & Lundy Engineers,151.xxx.xxx.xxx
Tokyo,Tokyo,Japan,142-0061,35.6249,139.7028,Asia/Tokyo,ARTERIA Networks Corporation,Other,AS2519 ARTERIA Networks Corporation,203.xxx.xxx.xxx
Central Singapore,Central Singapore,Singapore,48582,1.28009,103.851,Asia/Singapore,Amazon Technologies Inc.,Other,"AS16509 Amazon.com, Inc.",13.xxx.xxx.xxx
