City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP Address
Dublin,Leinster,Ireland,D02,53.3498,-6.26031,Europe/Dublin,BellSouth.net Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",108.xxx.xxx.xxx
Kaloum,Conakry Region,Guinea,,9.50917,-13.7122,Africa/Conakry,Areeba Guinee SA,2nd RO,AS37612 AREEBA GUINEE SA,102.xxx.xxx.xxx
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,55.xxx.xxx.xxx
Weifang,Shandong,China,261000,36.7069,119.162,Asia/Shanghai,CNC Group CHINA169 Shandong Province Network,,AS4837 CHINA UNICOM China169 Backbone,119.xxx.xxx.xxx
Bozeman,Montana,United States,59715,45.6714,-111.0436,America/Denver,Montana State University,Montana State University,AS13476 Montana State University,153.xxx.xxx.xxx
Goshen,Kentucky,United States,40026,38.4125,-85.5792,America/New_York,Level 3,Plamp-keen Agency Inc,"AS3549 Level 3 Parent, LLC",216.xxx.xxx.xxx
Tsing Yi,Kwai Tsing,Hong Kong,,22.3484,114.112,Asia/Hong_Kong,HGC Global Communications Limited,HGC Global Communications Limited,AS9304 HGC Global Communications Limited,223.xxx.xxx.xxx
Singapore,Central Singapore,Singapore,148945,1.29199,103.807,Asia/Singapore,"Singapore Telecommunications Ltd, Magix Services",SingNet Pte Ltd,AS9506 Singtel Fibre Broadband,42.xxx.xxx.xxx
Dallas,Texas,United States,75247,32.8175,-96.8731,America/Chicago,"CoreSpace, Inc.","CoreSpace, Inc.","AS54489 CoreSpace, Inc.",69.xxx.xxx.xxx
Harbin,Heilongjiang,China,150000,45.7567,126.642,Asia/Shanghai,China Mobile communications corporation,China Mobile,AS132525 HeiLongJiang Mobile Communication Company Limited,111.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business,174.xxx.xxx.xxx
Phaya Thai,Bangkok,Thailand,10400,13.7864,100.547,Asia/Bangkok,Advanced Wireless Network Company Limited,Advanced Info Service Public Company Limited,AS45458 SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,49.xxx.xxx.xxx
Caracas,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,CANTV Servicios,"CANTV Servicios, Venezuela",,190.xxx.xxx.xxx
West Lafayette,Indiana,United States,47907,40.4226,-86.9107,America/Chicago,Purdue University,Purdue University,AS397501 Purdue University,128.xxx.xxx.xxx
Wellesley,Massachusetts,United States,2481,42.3104,-71.2741,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS7015 Comcast Cable Communications, LLC",73.xxx.xxx.xxx
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Societe Internationale de Telecommunications Aeronautiques,Societe Internationale de Telecommunications Aeronautiques,,57.xxx.xxx.xxx
Nakamachi,Tokyo,Japan,158-0091,35.6129,139.6417,Asia/Tokyo,NTT COMMUNICATIONS CORPORATION,OCN,AS4713 NTT Communications Corporation,211.xxx.xxx.xxx
,,,,,,,,,,234.xxx.xxx.xxx
Zurich,Zurich,Switzerland,8027,47.3682,8.5671,Europe/Zurich,Amazon.com,Amazon Data Services Switzerland,"AS16509 Amazon.com, Inc.",16.xxx.xxx.xxx
Barnaul,Altai Krai,Russia,656056,53.3498,83.7836,Asia/Barnaul,TOMTEL networks,CJSC ER-Telecom Holding Tomsk branch,"AS50512 JSC ""ER-Telecom Holding""",79.xxx.xxx.xxx
Kfar Yona,Central District,Israel,,32.3154,34.9339,Asia/Jerusalem,Cellcom Fixed Line Communication L.P,013 Netvision Network,AS1680 Cellcom Fixed Line Communication L.P,62.xxx.xxx.xxx
,,,,,,,,,,255.xxx.xxx.xxx
,,,,,,,,,,246.xxx.xxx.xxx
Nairobi,Nairobi County,Kenya,9831,-1.2841,36.8155,Africa/Nairobi,Airtel KE Mobile & Fixed Internet,,AS327708 Airtel Rwanda Ltd,154.xxx.xxx.xxx
Litomyšl,Pardubicky kraj,Czechia,570 01,49.8847,16.3029,Europe/Prague,Fortech s.r.o,,AS28851 Nordic Telecom Regional s.r.o.,213.xxx.xxx.xxx
Sanger,California,United States,93657,36.7783,-119.418,America/Los_Angeles,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",44.xxx.xxx.xxx
Shimomeguro,Tokyo,Japan,153-0061,35.6418,139.7023,Asia/Tokyo,ARTERIA Networks Corporation,"GMO Internet, Inc.",AS2519 ARTERIA Networks Corporation,122.xxx.xxx.xxx
Chiyoda,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,NTTEAST-NGN,Nippon Telegraph and Telephone East Corporation,AS9595 NTT-ME Corporation,118.xxx.xxx.xxx
Seongnam-si,Gyeonggi-do,South Korea,5670,37.5162,127.099,Asia/Seoul,SAMSUNGSDS,Samsungsds,,42.xxx.xxx.xxx
McLean,Virginia,United States,22102,38.9226,-77.2319,America/New_York,Booz Allen Hamilton Inc.,Advanced Decision Systems,AS7281 Booz Allen Hamilton Inc.,128.xxx.xxx.xxx
Rio Saliceto,Emilia-Romagna,Italy,42010,44.8117,10.7928,Europe/Rome,Fastweb SpA,FASTWEB VULA Statico,AS12874 Fastweb SpA,93.xxx.xxx.xxx
Chongqing,Chongqing,China,,29.5689,106.5577,Asia/Shanghai,China Telecom,,AS4134 CHINANET-BACKBONE,125.xxx.xxx.xxx
New Delhi,National Capital Territory of Delhi,India,110001,28.6139,77.209,Asia/Kolkata,Bank of America,"Bank of America, N.A",,162.xxx.xxx.xxx
Khartoum,Khartoum,Sudan,,15.5007,32.5599,Africa/Khartoum,MTN SD,,,102.xxx.xxx.xxx
Darlington,England,United Kingdom,DL2,54.5506,-1.5942,Europe/London,Vodafone,Vodafone Limited,AS5378 Vodafone Limited,90.xxx.xxx.xxx
Umraniye,Istanbul,Turkey,34750,40.9805,29.103,Europe/Istanbul,Ereey Grup Bilisim Teknolojileri Tic. Ltd. Sti.,Ereey Network,AS205961 EREEY GRUP BILISIM TEKNOLOJILERI TIC. LTD. STI.,185.xxx.xxx.xxx
Ilion,New York,United States,13357,43.0151,-75.0354,America/New_York,Charter Communications,Spectrum,AS11351 Charter Communications Inc,24.xxx.xxx.xxx
New Orleans,Louisiana,United States,70130,29.9497,-90.0732,America/Chicago,Verizon Business,BellSouth.Net,AS701 Verizon Business,207.xxx.xxx.xxx
Diu,Dadra and Nagar Haveli and Daman and Diu,India,362520,20.7152,70.9805,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,,171.xxx.xxx.xxx
San Juan,Metro Manila,Philippines,1500,14.6077,121.0465,Asia/Manila,Philippine Long Distance Telephone Co.,Philippine Long Distance Telephone Company,AS9299 Philippine Long Distance Telephone Company,115.xxx.xxx.xxx
Bern,Bern,Switzerland,3003,46.9403,7.43544,Europe/Zurich,Swiss Federation represented by FOITT,Swiss Federation represented by FOITT,AS33845 Swiss Federation represented by FOITT,131.xxx.xxx.xxx
Dyersburg,Tennessee,United States,38024,36.0428,-89.3916,America/Chicago,AT&T Corp.,Tennessee Board of Regents,AS19957 AT&T Corp.,206.xxx.xxx.xxx
Franklin,Ohio,United States,45005,39.5335,-84.3057,America/New_York,DoD Network Information Center,Air Force Systems Networking,AS56 DoD Network Information Center,129.xxx.xxx.xxx
,,,,,,,,,,240.xxx.xxx.xxx
Huamu,Shanghai,China,,31.2069,121.599,Asia/Shanghai,Oriental Cable Network Co,"Oriental Cable Network Co., Ltd.","AS9812 Oriental Cable Network Co., Ltd.",118.xxx.xxx.xxx
,,,,,,,,,,234.xxx.xxx.xxx
Raleigh,North Carolina,United States,27606,35.7633,-78.71,America/New_York,Charter Communications,Spectrum,AS11426 Charter Communications Inc,71.xxx.xxx.xxx
Council Bluffs,Iowa,United States,,41.2619,-95.8608,America/Chicago,Google LLC,Google Cloud (us-central1),AS396982 Google LLC,34.xxx.xxx.xxx
Casablanca,Casablanca-Settat,Morocco,,33.5792,-7.6133,Africa/Casablanca,CASA 4G MarocTelecom,,AS6713 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,154.xxx.xxx.xxx
Kansas City,Missouri,United States,64108,39.0811,-94.58,America/Chicago,Hallmark Cards Inc.,Hallmark Cards Inc.,AS22089 Hallmark Cards Inc.,162.xxx.xxx.xxx
Honolulu,Hawaii,United States,96813,21.3093,-157.863,Pacific/Honolulu,SystemMetrics Corporation,Enovatel LLC,AS21686 SystemMetrics Corporation,64.xxx.xxx.xxx
Guiyang,Guizhou,China,550000,26.6477,106.63,Asia/Shanghai,Chinanet,Chinanet GZ,AS4134 CHINANET-BACKBONE,111.xxx.xxx.xxx
,,,,,,,,,,225.xxx.xxx.xxx
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,35.xxx.xxx.xxx
Newark,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,48.xxx.xxx.xxx
Stuttgart,Baden-Wurttemberg,Germany,70173,48.7758,9.18293,Europe/Berlin,Robert Bosch GmbH,Robert Bosch Gesellschaft mit Beschraenkter Haftung,AS9183 Robert Bosch Gesellschaft mit Beschraenkter Haftung,139.xxx.xxx.xxx
Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,183.xxx.xxx.xxx
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"AS16509 Amazon.com, Inc.",3.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,29.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7.xxx.xxx.xxx
,,,,,,,,,,233.xxx.xxx.xxx
Palo Alto,California,United States,94304,37.4161,-122.146,America/Los_Angeles,Amazon.com,DXC US Latin America Corporation,,207.xxx.xxx.xxx
Gothenburg,Västra Götaland County,Sweden,417 67,57.7065,11.967,Europe/Stockholm,Telia Company AB,Telia Network Services,AS3301 Telia Company AB,81.xxx.xxx.xxx
St. John's,Newfoundland and Labrador,Canada,A1A,47.5556,-52.7453,America/St_Johns,Xplornet Communications Inc.,Xplornet Communications Inc.,,174.xxx.xxx.xxx
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,16.xxx.xxx.xxx
Fleurus,Wallonia,Belgium,6224,50.4764,4.5824,Europe/Brussels,UOFLIEGE,University of Liege,AS2611 BELNET,139.xxx.xxx.xxx
Haidian,Beijing,China,,39.9071,116.301,Asia/Shanghai,CDWGNET,Cdwgnet,,211.xxx.xxx.xxx
Enid,Oklahoma,United States,73703,36.3933,-97.9158,America/Chicago,Rackspace Hosting,Rackspace Hosting,AS33070 Rackspace Hosting,72.xxx.xxx.xxx
Portland,Oregon,United States,97252,45.5242,-122.6684,America/Los_Angeles,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications,38.xxx.xxx.xxx
Joinville,Santa Catarina,Brazil,89200,-26.2659,-48.9987,America/Sao_Paulo,TELEFÔNICA BRASIL S.A,Global Village Telecom,AS18881 TELEFÔNICA BRASIL S.A,177.xxx.xxx.xxx
Madrid,Madrid,Spain,28070,40.4168,-3.70379,Europe/Madrid,GTT Communications Inc.,Eptisa,AS3257 GTT Communications Inc.,84.xxx.xxx.xxx
Kuala Lumpur,Kuala Lumpur,Malaysia,50515,3.1408,101.6852,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,115.xxx.xxx.xxx
Fort Collins,Colorado,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA,199.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7.xxx.xxx.xxx
Brisbane,Queensland,Australia,4101,-27.4719,153.0196,Australia/Brisbane,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd,1.xxx.xxx.xxx
Kuala Lumpur,Kuala Lumpur,Malaysia,50200,3.15252,101.711,Asia/Kuala_Lumpur,Global Transit Communications,Global Transit Communications,AS24218 Global Transit Communications - Malaysia,119.xxx.xxx.xxx
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett-Packard Company,Hewlett-Packard Company,,15.xxx.xxx.xxx
Gayang-dong,Daejeon,South Korea,300090,36.3476,127.451,Asia/Seoul,Daejeon Helath Sciences College,Kren,AS18029 Daejeon Helath Sciences College,210.xxx.xxx.xxx
Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone,222.xxx.xxx.xxx
Namyangju,Gyeonggi-do,South Korea,,37.6524,127.308,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,115.xxx.xxx.xxx
Jacksonville,Florida,United States,32255,30.3322,-81.6556,America/New_York,"Arachnitec, INC.",High Speed Web/Genesis 2 Networks,"AS6921 Arachnitec, INC.",216.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,139.xxx.xxx.xxx
Ashburn,Virginia,United States,20149,39.0438,-77.4874,America/New_York,Amazon Technologies Inc.,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",3.xxx.xxx.xxx
Åmot,Buskerud,Norway,3340,59.9065,9.9194,Europe/Oslo,Telenor Mobil,,AS2119 Telenor Norge AS,46.xxx.xxx.xxx
Namdong-gu,Incheon,South Korea,216,37.3943,126.708,Asia/Seoul,ITIS,,AS9317 INHA UNIVERSITY,165.xxx.xxx.xxx
Bilbao,Basque Country,Spain,48012,43.263,-2.9351,Europe/Madrid,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,158.xxx.xxx.xxx
Hibarigaoka,Tokyo,Japan,179-0072,35.7545,139.6249,Asia/Tokyo,"JCOM Co., Ltd.","JCOM Co., Ltd","AS9824 JCOM Co., Ltd.",110.xxx.xxx.xxx
,,,,,,,,,,252.xxx.xxx.xxx
Redwood City,California,United States,94065,37.5307,-122.262,America/Los_Angeles,Oracle Corporation,Oracle Corporation,,192.xxx.xxx.xxx
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Morgan Stanley Group Inc.,Morgan Stanley Group Inc,,144.xxx.xxx.xxx
Miami,Florida,United States,33197,25.7689,-80.1946,America/New_York,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",23.xxx.xxx.xxx
Hong Kong,Central and Western District,Hong Kong,0,22.267,114.188,Asia/Hong_Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation,20.xxx.xxx.xxx
Bielefeld,North Rhine-Westphalia,Germany,33602,52.0231,8.53375,Europe/Berlin,T-Systems International GmbH,T-Systems International GmbH,,164.xxx.xxx.xxx
,,,,,,,,,,224.xxx.xxx.xxx
Düsseldorf,North Rhine-Westphalia,Germany,40213,51.2277,6.77346,Europe/Berlin,Telefonica Germany GmbH & Co. OHG,Telefonica Germany GmbH & Co.,AS6805 Telefonica Germany GmbH & Co.OHG,77.xxx.xxx.xxx
,,,,,,,,,,237.xxx.xxx.xxx
Kampala,Central Region,Uganda,,0.321,32.5714,Africa/Kampala,National Information Technology Authority Uganda,National Information Technology Authority Uganda,AS327724 National Information Technology Authority Uganda,154.xxx.xxx.xxx
Lissone,Lombardy,Italy,20851,45.6132,9.24262,Europe/Rome,Hivelocity Inc,Atik Srl,AS61317 Hivelocity Inc,195.xxx.xxx.xxx
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,"Hitachi, Ltd., Managed Services Business Division","Hitachi Systems, Ltd.","AS59109 Hitachi,Ltd., Managed Services Business Division",202.xxx.xxx.xxx
Houston,Texas,United States,77056,29.7496,-95.474,America/Chicago,Schlumberger Limited,Schlumberger Limited,AS72 Schlumberger Limited,137.xxx.xxx.xxx
,,,,,,,,,,247.xxx.xxx.xxx
,,,,,,,,,,252.xxx.xxx.xxx
Barrington,Rhode Island,United States,2806,41.7439,-71.3179,America/New_York,i3 Broadband,i3 Broadband,AS25710 i3 Broadband,24.xxx.xxx.xxx
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Corporation,,4.xxx.xxx.xxx
Minato-ku,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.,219.xxx.xxx.xxx
Lexington-Fayette,Kentucky,United States,40509,37.9924,-84.3752,America/New_York,Spectrum,Road Runner,AS10796 Charter Communications Inc,75.xxx.xxx.xxx
North Charleston,South Carolina,United States,,32.8771,-80.013,America/New_York,Google LLC,Google Cloud (us-east1),AS396982 Google LLC,34.xxx.xxx.xxx
Aurora,Illinois,United States,60506,41.7688,-88.3405,America/Chicago,"AT&T Services, Inc.","HYPER-IT SERVICES, LLC","AS7018 AT&T Services, Inc.",12.xxx.xxx.xxx
Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,131.xxx.xxx.xxx
Stockholm,Stockholm County,Sweden,100 05,59.3293,18.0686,Europe/Stockholm,PROSECUTE,,,156.xxx.xxx.xxx
Santo Domingo,Nacional,Dominican Republic,10145,18.4627,-69.9362,America/Santo_Domingo,Banco Multiple BHD Leon SA,Banco Multiple BHD Leon SA,AS271959 BANCO MULTIPLE BHD LEON SA,204.xxx.xxx.xxx
,,,,,,,,,,237.xxx.xxx.xxx
Norwalk,Connecticut,United States,6851,41.0928,-73.4197,America/New_York,FactSet Research Systems,"FactSet Research Systems, Inc",,164.xxx.xxx.xxx
Marcheprime,Nouvelle-Aquitaine,France,33380,44.6916,-0.8456,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS,88.xxx.xxx.xxx
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,Alibaba.com Singapore E-Commerce Private Limited,Aliyun Computing Co.,,8.xxx.xxx.xxx
Milan,Lombardy,Italy,20121,45.4642,9.18998,Europe/Rome,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.,62.xxx.xxx.xxx
Prague,Prague,Czechia,110 00,50.0883,14.4124,Europe/Prague,T-Mobile Czech Republic,PC-Datacode s.r.o.,AS13036 T-Mobile Czech Republic a.s.,62.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",114.xxx.xxx.xxx
Amsterdam,New York,United States,12010,42.9559,-74.1681,America/New_York,Spectrum,"Road Runner, VoIP Residential",AS11351 Charter Communications Inc,69.xxx.xxx.xxx
Phoenix,Arizona,United States,85001,33.448376,-112.074036,America/Phoenix,Microsoft Corporation,Microsoft Azure Cloud (westus3),AS8075 Microsoft Corporation,4.xxx.xxx.xxx
,,,,,,,,,,231.xxx.xxx.xxx
Norfolk,Virginia,United States,23501,36.9151,-76.1866,America/New_York,DoD Network Information Center,Navy Network Information Center,AS647 DoD Network Information Center,205.xxx.xxx.xxx
Mountain View,California,United States,94043,37.422,-122.084,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC,34.xxx.xxx.xxx
,,,,,,,,,,250.xxx.xxx.xxx
,,,,,,,,,,239.xxx.xxx.xxx
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,77.xxx.xxx.xxx
Caracas,Miranda,Venezuela,,10.4969,-66.8432,America/Caracas,"TELEFONICA VENEZOLANA, C.A.","TELEFONICA VENEZOLANA, C.A","AS6306 TELEFONICA VENEZOLANA, C.A.",181.xxx.xxx.xxx
Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,56.xxx.xxx.xxx
Kuala Lumpur,Kuala Lumpur,Malaysia,59200,3.1191,101.6747,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,118.xxx.xxx.xxx
Seoul,Seoul,South Korea,45,37.5529,126.9502,Asia/Seoul,Konkuk University,Konkuknet,AS9459 Konkuk University,203.xxx.xxx.xxx
Charles Town,West Virginia,United States,25414,39.2825,-77.8522,America/New_York,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS33657 Comcast Cable Communications, LLC",24.xxx.xxx.xxx
Hamburg,Free and Hanseatic City of Hamburg,Germany,22587,53.5639,9.8002,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,91.xxx.xxx.xxx
Toronto,Ontario,Canada,M5A,43.709,-79.4057,America/Toronto,Cogent Communications,Diallog Telecommunications Corp,AS174 Cogent Communications,38.xxx.xxx.xxx
Sannomaru,Aichi,Japan,460-0001,35.179,136.8939,Asia/Tokyo,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.,210.xxx.xxx.xxx
Tempe,Arizona,United States,85284,33.3359,-111.894,America/Phoenix,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC",50.xxx.xxx.xxx
Seongnam-si,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,49.xxx.xxx.xxx
,,,,,,,,,,242.xxx.xxx.xxx
,,,,,,,,,,239.xxx.xxx.xxx
Ewirgol,Xinjiang,China,,42.5246,87.5396,Asia/Urumqi,CHINATELECOM Xinjiang Kezhou MAN network,Chinanet XJ,AS137694 CHINATELECOM Xinjiang Kezhou MAN network,110.xxx.xxx.xxx
,,,,,,,,,,225.xxx.xxx.xxx
Schwedt,Brandenburg,Germany,16303,53.0597,14.2815,Europe/Berlin,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH,109.xxx.xxx.xxx
,,,,,,,,,,231.xxx.xxx.xxx
Round Rock,Texas,United States,78665,30.5154,-97.6689,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",70.xxx.xxx.xxx
,,,,,,,,,,251.xxx.xxx.xxx
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,16.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Charter Communications,Spectrum,AS16787 Charter Communications,96.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5505,-46.6333,America/Sao_Paulo,Amazon Technologies Inc.,AWS EC2 (sa-east-1),"AS16509 Amazon.com, Inc.",15.xxx.xxx.xxx
Zhoutou,Hebei,China,,37.8957,114.904,Asia/Shanghai,China Unicom China169 Network,,AS4837 CHINA UNICOM China169 Backbone,120.xxx.xxx.xxx
Hoogeveen,Drenthe,The Netherlands,7901,52.7286,6.4901,Europe/Amsterdam,VODAFONE,,AS15480 Vodafone Libertel B.V.,109.xxx.xxx.xxx
Seongnam-si,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,1.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,28.xxx.xxx.xxx
McCall,Idaho,United States,83638,44.8885,-116.0742,America/Boise,Wholesail networks LLC,Ziply Fiber,AS20055 Wholesail networks LLC,50.xxx.xxx.xxx
Vienna,Vienna,Austria,1010,48.2082,16.3738,Europe/Vienna,KYNDR,,,62.xxx.xxx.xxx
Calgary,Alberta,Canada,T2C,50.9595,-114.011,America/Edmonton,Imperial Oil Limited,Imperial Oil Limited,,142.xxx.xxx.xxx
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation,4.xxx.xxx.xxx
Taiyuan,Shanxi,China,,37.8648,112.5636,Asia/Shanghai,Chinanet,Sxpdsn,AS4134 CHINANET-BACKBONE,110.xxx.xxx.xxx
Brisbane,Queensland,Australia,4305,-27.5923,152.7323,Australia/Brisbane,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD,49.xxx.xxx.xxx
Umraniye,Istanbul,Turkey,34860,40.9179,29.1776,Europe/Istanbul,Superonline Iletisim Hizmetleri A.S.,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.,85.xxx.xxx.xxx
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,BSHNET,"Beijing Bosheng Technology Co., Ltd.",,101.xxx.xxx.xxx
Santiago,Santiago Metropolitan,Chile,34033,-33.4569,-70.6483,America/Santiago,Informatica Bluehosting Limitada,Informatica Bluehosting Limitada,AS64111 INFORMATICA BLUEHOSTING LIMITADA,45.xxx.xxx.xxx
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc.",,16.xxx.xxx.xxx
,,,,,,,,,,231.xxx.xxx.xxx
Montgomery,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,132.xxx.xxx.xxx
Long Beach,California,United States,90815,33.7903,-118.1215,America/Los_Angeles,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman,129.xxx.xxx.xxx
,,,,,,,,,,248.xxx.xxx.xxx
Antwerp,Flanders,Belgium,2050,51.2192,4.3917,Europe/Brussels,Mobistar Cable,Mobistar Enterprise Services,AS47377 Orange Belgium SA,94.xxx.xxx.xxx
Minato-ku,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.,219.xxx.xxx.xxx
,,,,,,,,,,237.xxx.xxx.xxx
Carlow,Leinster,Ireland,R93,52.8262,-6.93828,Europe/Dublin,RTC-CARLOW,Institute of Technology Carlow,AS1213 HEAnet CLG,149.xxx.xxx.xxx
Orland Park,Illinois,United States,60462,41.6172,-87.8419,America/Chicago,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33491 Comcast Cable Communications, LLC",98.xxx.xxx.xxx
Monterrey,Nuevo León,Mexico,64260,25.6724,-100.373,America/Monterrey,Axtel - Recursos WiMAX,Axtel - Recursos WiMAX,,189.xxx.xxx.xxx
Shanghai,Shanghai,China,,31.2304,121.474,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group),180.xxx.xxx.xxx
