Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Arizona,United States,85***,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Wisconsin,United States,53***,43.1,-89.5,America/Chicago,Wingra Technologies,,
Fujian,China,,24.9,118.6,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus Governorate,Syria,,33.5,36.3,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Alaska,United States,99***,61.2,-149.9,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Florida,United States,32***,28.5,-81.4,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Minas Gerais,Brazil,37***,-21.9,-46.4,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Miranda,Venezuela,,10.5,-66.8,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Lombardy,Italy,20***,45.5,9.1,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Germany,28***,53.1,8.8,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Virginia,United States,23***,36.7,-78.4,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,
East Java,Indonesia,,-7.9,112.6,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Hesse,Germany,60***,50.1,8.7,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,China,,39.9,116.4,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Texas,United States,78***,30.2,-97.7,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Ontario,Canada,K9*,44.3,-78.3,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
England,United Kingdom,W1*,51.5,-0.1,Europe/London,TalkTalk,TalkTalk Communications Limited,
Illinois,United States,60***,41.9,-87.6,America/Chicago,Microsoft Limited,Microsoft Limited,
Kentucky,United States,40***,38.2,-85.7,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,United States,10***,40.7,-74.0,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Västerbotten County,Sweden,93****,64.7,21.0,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Georgia,United States,30***,33.7,-84.4,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
California,United States,94***,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,United States,10***,40.7,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Lithuania,20**,54.7,25.3,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
New Jersey,United States,85**,40.3,-74.7,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Virginia,United States,20***,39.0,-77.5,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,
Arizona,United States,85***,33.4,-111.9,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,New Zealand,62*,-36.8,174.8,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Seoul,South Korea,10***,37.6,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Texas,United States,75***,32.8,-96.8,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chișinău Municipality,Moldova,MD*****,47.0,28.9,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Guangdong,China,,23.4,113.8,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Maharashtra,India,40****,19.1,72.9,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,
Maritime,Togo,,6.1,1.2,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,
Maryland,United States,20***,39.1,-77.0,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,
Hainan,China,,20.0,110.2,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Henan,China,45****,34.8,113.8,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
North Carolina,United States,28***,34.9,-77.6,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Scotland,United Kingdom,EH**,55.9,-3.5,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taiwan,Taiwan,,25.0,121.6,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Pirkanmaa,Finland,33***,61.5,23.8,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Leinster,Ireland,D0*,53.3,-6.3,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,United States,10***,40.7,-74.0,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
South Holland,The Netherlands,22**,52.1,4.4,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
California,United States,94***,37.7,-122.4,America/Los_Angeles,Fastly,"Fastly, Inc.",
Ohio,United States,45***,39.1,-84.5,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Santiago Metropolitan,Chile,85*****,-33.4,-70.6,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Arizona,United States,85***,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
British Columbia,Canada,V8*,48.5,-123.4,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Ontario,Canada,L4*,43.9,-79.4,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Arizona,United States,85***,32.1,-110.9,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Michigan,United States,48***,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Ukraine,75**,48.0,37.8,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Alabama,United States,36***,31.1,-87.1,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,Brazil,01*******,-23.6,-46.6,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Massachusetts,United States,11**,42.1,-72.5,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
District of Columbia,United States,20***,38.9,-77.0,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,
Vienna,Austria,10**,48.2,16.4,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,China,,39.1,117.2,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
England,United Kingdom,W1*,51.5,-0.1,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Beijing,China,,40.0,116.5,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,China,10****,39.9,116.4,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Alberta,Canada,T2*,51.0,-114.1,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
