Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Buskerud,Norway,33**,59.9,9.9,Europe/Oslo,Telenor Mobil,,AS2119 Telenor Norge AS
Incheon,South Korea,21*,37.4,126.7,Asia/Seoul,ITIS,,AS9317 INHA UNIVERSITY
Basque Country,Spain,48***,43.3,-2.9,Europe/Madrid,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea
Tokyo,Japan,17******,35.8,139.6,Asia/Tokyo,"JCOM Co., Ltd.","JCOM Co., Ltd","AS9824 JCOM Co., Ltd."
,,,,,,,,
California,United States,94***,37.5,-122.3,America/Los_Angeles,Oracle Corporation,Oracle Corporation,
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Morgan Stanley Group Inc.,Morgan Stanley Group Inc,
Florida,United States,33***,25.8,-80.2,America/New_York,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Central and Western District,Hong Kong,0****,22.3,114.2,Asia/Hong_Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation
North Rhine-Westphalia,Germany,33***,52.0,8.5,Europe/Berlin,T-Systems International GmbH,T-Systems International GmbH,
,,,,,,,,
North Rhine-Westphalia,Germany,40***,51.2,6.8,Europe/Berlin,Telefonica Germany GmbH & Co. OHG,Telefonica Germany GmbH & Co.,AS6805 Telefonica Germany GmbH & Co.OHG
,,,,,,,,
Central Region,Uganda,,0.3,32.6,Africa/Kampala,National Information Technology Authority Uganda,National Information Technology Authority Uganda,AS327724 National Information Technology Authority Uganda
Lombardy,Italy,20***,45.6,9.2,Europe/Rome,Hivelocity Inc,Atik Srl,AS61317 Hivelocity Inc
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,"Hitachi, Ltd., Managed Services Business Division","Hitachi Systems, Ltd.","AS59109 Hitachi,Ltd., Managed Services Business Division"
Texas,United States,77***,29.7,-95.5,America/Chicago,Schlumberger Limited,Schlumberger Limited,AS72 Schlumberger Limited
,,,,,,,,
,,,,,,,,
Rhode Island,United States,28**,41.7,-71.3,America/New_York,i3 Broadband,i3 Broadband,AS25710 i3 Broadband
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Microsoft Corporation,Microsoft Corporation,
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.
Kentucky,United States,40***,38.0,-84.4,America/New_York,Spectrum,Road Runner,AS10796 Charter Communications Inc
South Carolina,United States,,32.9,-80.0,America/New_York,Google LLC,Google Cloud (us-east1),AS396982 Google LLC
Illinois,United States,60***,41.8,-88.3,America/Chicago,"AT&T Services, Inc.","HYPER-IT SERVICES, LLC","AS7018 AT&T Services, Inc."
Hesse,Germany,60***,50.1,8.7,Europe/Berlin,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center
Stockholm County,Sweden,10****,59.3,18.1,Europe/Stockholm,PROSECUTE,,
Nacional,Dominican Republic,10***,18.5,-69.9,America/Santo_Domingo,Banco Multiple BHD Leon SA,Banco Multiple BHD Leon SA,AS271959 BANCO MULTIPLE BHD LEON SA
,,,,,,,,
Connecticut,United States,68**,41.1,-73.4,America/New_York,FactSet Research Systems,"FactSet Research Systems, Inc",
Nouvelle-Aquitaine,France,33***,44.7,-0.8,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Beijing,China,,39.9,116.4,Asia/Shanghai,Alibaba.com Singapore E-Commerce Private Limited,Aliyun Computing Co.,
Lombardy,Italy,20***,45.5,9.2,Europe/Rome,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.
Prague,Czechia,11****,50.1,14.4,Europe/Prague,T-Mobile Czech Republic,PC-Datacode s.r.o.,AS13036 T-Mobile Czech Republic a.s.
Beijing,China,10****,39.9,116.4,Asia/Shanghai,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China."
New York,United States,12***,43.0,-74.2,America/New_York,Spectrum,"Road Runner, VoIP Residential",AS11351 Charter Communications Inc
Arizona,United States,85***,33.4,-112.1,America/Phoenix,Microsoft Corporation,Microsoft Azure Cloud (westus3),AS8075 Microsoft Corporation
,,,,,,,,
Virginia,United States,23***,36.9,-76.2,America/New_York,DoD Network Information Center,Navy Network Information Center,AS647 DoD Network Information Center
California,United States,94***,37.4,-122.1,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC
,,,,,,,,
,,,,,,,,
Île-de-France,France,75***,48.9,2.4,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Miranda,Venezuela,,10.5,-66.8,America/Caracas,"TELEFONICA VENEZOLANA, C.A.","TELEFONICA VENEZOLANA, C.A","AS6306 TELEFONICA VENEZOLANA, C.A."
North Carolina,United States,27***,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Kuala Lumpur,Malaysia,59***,3.1,101.7,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.
Seoul,South Korea,45***,37.6,127.0,Asia/Seoul,Konkuk University,Konkuknet,AS9459 Konkuk University
West Virginia,United States,25***,39.3,-77.9,America/New_York,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS33657 Comcast Cable Communications, LLC"
Free and Hanseatic City of Hamburg,Germany,22***,53.6,9.8,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Ontario,Canada,M5*,43.7,-79.4,America/Toronto,Cogent Communications,Diallog Telecommunications Corp,AS174 Cogent Communications
Aichi,Japan,46******,35.2,136.9,Asia/Tokyo,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.
Arizona,United States,85***,33.3,-111.9,America/Phoenix,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC"
Gyeonggi-do,South Korea,13***,37.4,127.1,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
,,,,,,,,
,,,,,,,,
Xinjiang,China,,42.5,87.5,Asia/Urumqi,CHINATELECOM Xinjiang Kezhou MAN network,Chinanet XJ,AS137694 CHINATELECOM Xinjiang Kezhou MAN network
,,,,,,,,
Brandenburg,Germany,16***,53.1,14.3,Europe/Berlin,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH
,,,,,,,,
Texas,United States,78***,30.5,-97.7,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
,,,,,,,,
California,United States,94***,37.4,-122.1,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
New York,United States,10***,40.7,-74.0,America/New_York,Charter Communications,Spectrum,AS16787 Charter Communications
São Paulo,Brazil,01*******,-23.6,-46.6,America/Sao_Paulo,Amazon Technologies Inc.,AWS EC2 (sa-east-1),"AS16509 Amazon.com, Inc."
Hebei,China,,37.9,114.9,Asia/Shanghai,China Unicom China169 Network,,AS4837 CHINA UNICOM China169 Backbone
Drenthe,The Netherlands,79**,52.7,6.5,Europe/Amsterdam,VODAFONE,,AS15480 Vodafone Libertel B.V.
Gyeonggi-do,South Korea,13***,37.4,127.1,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Idaho,United States,83***,44.9,-116.1,America/Boise,Wholesail networks LLC,Ziply Fiber,AS20055 Wholesail networks LLC
Vienna,Austria,10**,48.2,16.4,Europe/Vienna,KYNDR,,
Alberta,Canada,T2*,51.0,-114.0,America/Edmonton,Imperial Oil Limited,Imperial Oil Limited,
Virginia,United States,23***,36.7,-78.4,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation
Shanxi,China,,37.9,112.6,Asia/Shanghai,Chinanet,Sxpdsn,AS4134 CHINANET-BACKBONE
Queensland,Australia,43**,-27.6,152.7,Australia/Brisbane,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD
Istanbul,Turkey,34***,40.9,29.2,Europe/Istanbul,Superonline Iletisim Hizmetleri A.S.,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.
Beijing,China,10****,39.9,116.4,Asia/Shanghai,BSHNET,"Beijing Bosheng Technology Co., Ltd.",
Santiago Metropolitan,Chile,34***,-33.5,-70.6,America/Santiago,Informatica Bluehosting Limitada,Informatica Bluehosting Limitada,AS64111 INFORMATICA BLUEHOSTING LIMITADA
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc.",
,,,,,,,,
Alabama,United States,36***,32.4,-86.2,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center
California,United States,90***,33.8,-118.1,America/Los_Angeles,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman
,,,,,,,,
Flanders,Belgium,20**,51.2,4.4,Europe/Brussels,Mobistar Cable,Mobistar Enterprise Services,AS47377 Orange Belgium SA
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.
,,,,,,,,
Leinster,Ireland,R9*,52.8,-6.9,Europe/Dublin,RTC-CARLOW,Institute of Technology Carlow,AS1213 HEAnet CLG
Illinois,United States,60***,41.6,-87.8,America/Chicago,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33491 Comcast Cable Communications, LLC"
Nuevo León,Mexico,64***,25.7,-100.4,America/Monterrey,Axtel - Recursos WiMAX,Axtel - Recursos WiMAX,
Shanghai,China,,31.2,121.5,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group)
Virginia,United States,24***,37.2,-80.4,America/New_York,Virginia Polytechnic Institute and State Univ.,Virginia Polytechnic Institute and State Univ.,AS1312 Virginia Polytechnic Institute and State Univ.
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
,,,,,,,,
Perm Krai,Russia,61****,58.0,56.2,Asia/Yekaterinburg,OJSC uralsvyazinform,Dynamic distribution IPs for broadband services,AS12389 PJSC Rostelecom
Quebec,Canada,H9*,45.4,-73.8,America/Toronto,Beanfield Technologies Inc.,Beanfield Technologies Inc,AS21548 Beanfield Technologies Inc.
Heredia Province,Costa Rica,40***,10.0,-84.2,America/Costa_Rica,Instituto Costarricense de Electricidad y Telecom.,San Pedro,AS11830 Instituto Costarricense de Electricidad y Telecom.
Machakos County,Kenya,,-1.5,37.3,Africa/Nairobi,Airtel KE Mobile & Fixed Internet,,AS327708 Airtel Rwanda Ltd
,,,,,,,,
Auvergne-Rhône-Alpes,France,69***,45.6,4.8,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
California,United States,94***,37.4,-122.1,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC
Indiana,United States,46***,39.8,-86.2,America/Chicago,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc."
Kyiv City,Ukraine,10**,50.5,30.5,Europe/Kiev,Lifecell UA,Turkcell LLC,"AS34058 Limited Liability Company ""lifecell"""
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Bavaria,Germany,80***,48.2,11.6,Europe/Berlin,A100 ROW Inc,A100 ROW Inc,
Jujuy,Argentina,46**,-24.2,-65.2,America/Argentina/Jujuy,TV MUSIC HOUSE JUJUY,TV MUSIC HOUSE JUJUY,AS52312 TV MUSIC HOUSE JUJUY
,,,,,,,,
Massachusetts,United States,17**,42.3,-71.4,America/New_York,"Akamai Technologies, Inc.",The Bank of New York Mellon Corporation,"AS32787 Akamai Technologies, Inc."
Colorado,United States,80***,39.8,-105.0,America/Denver,Lockheed Martin Corporation,Lockheed Martin Corporation,
,,,,,,,,
California,United States,94***,37.5,-122.3,America/Los_Angeles,Oracle Corporation,Oracle Corporation,
New Hampshire,United States,32**,43.2,-71.4,America/New_York,Dartmouth-Hitchcock Medical Center,Dartmouth Hitchcock Medical Center,AS11197 Dartmouth-Hitchcock Medical Center
Sofia-Capital,Bulgaria,10**,42.7,23.4,Europe/Sofia,Vivacom Bulgaria EAD,Bulgarian Telecommunications Company Plc.,AS8866 Vivacom Bulgaria EAD
,,,,,,,,
Guangdong,China,,23.4,113.8,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE
Beijing,China,10****,39.9,116.4,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Pennsylvania,United States,17***,40.2,-77.0,America/New_York,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7016 Comcast Cable Communications, LLC"
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Michigan,United States,48***,42.2,-83.7,America/Detroit,Merit Network Inc.,Merit Network Inc,AS237 Merit Network Inc.
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
New York,United States,10***,40.7,-74.0,America/New_York,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS3561 CenturyLink Communications, LLC"
Tehran,Iran,,35.7,51.3,Asia/Tehran,Information Technology Company,,AS58224 Iran Telecommunication Company PJS
,,,,,,,,
,,,,,,,,
Colorado,United States,80***,39.7,-104.8,America/Denver,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33652 Comcast Cable Communications, LLC"
,,,,,,,,
Shanghai,China,,31.2,121.6,Asia/Shanghai,Oriental Cable Network Co,"Oriental Cable Network Co., Ltd.","AS9812 Oriental Cable Network Co., Ltd."
Piedmont,Italy,10***,45.1,7.8,Europe/Rome,Vodafone,,AS30722 Vodafone Italia S.p.A.
Stockholm County,Sweden,16****,59.4,18.0,Europe/Stockholm,Ericsson Inc.,Ericsson AB,AS158 Ericsson Inc.
,,,,,,,,
Western Cape,South Africa,74**,-33.9,18.4,Africa/Johannesburg,Vodacom UMTS Cape Town Western Cape INTERNET APN,,AS29975 Vodacom
Indiana,United States,46***,39.8,-86.2,America/Chicago,AT&T Services,"AT&T Services, Inc.",
,,,,,,,,
New Taipei,Taiwan,,25.1,121.4,Asia/Taipei,T-TYRC.EDU.TW,National Central University,AS1659 Taiwan Academic Network (TANet) Information Center
,,,,,,,,
Telangana,India,50****,17.4,78.4,Asia/Kolkata,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,AS55836 Reliance Jio Infocomm Limited
Tokyo,Japan,15******,35.7,139.7,Asia/Tokyo,NTN,NTN corporation,"AS2514 NTT PC Communications, Inc."
Ceará,Brazil,60***,-3.7,-38.5,America/Fortaleza,Secretaria Municipal De Planejamento Orcamento E G,Secretaria Municipal De Planejamento Orcamento E G,AS269175 SECRETARIA MUNICIPAL DE PLANEJAMENTO ORCAMENTO E G
New York,United States,10***,40.7,-74.0,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,NTT Communications Corporation,Mitsubishi Corporation,AS4713 NTT Communications Corporation
Tokyo,Japan,15******,35.6,139.7,Asia/Tokyo,Keio University,KEIO,AS38635 Keio University
Shumen,Bulgaria,97**,43.3,26.9,Europe/Sofia,A1 Bulgaria EAD,Blizoo Media and Broadband EAD,AS13124 A1 Bulgaria EAD
Georgia,United States,30***,33.7,-84.4,America/New_York,"Wayport, LLC","Wayport, LLC",AS14654 AT&T Corp.
Arizona,United States,85***,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS367 DoD Network Information Center
,,,,,,,,
England,United Kingdom,NE**,55.1,-1.6,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Arizona,United States,85***,31.6,-110.4,America/Phoenix,"Headquarters, USAISC",USAISC,"AS1530 Headquarters, USAISC"
Harjumaa,Estonia,,59.4,24.7,Europe/Tallinn,Telia Eesti AS,Elion Enterprises Ltd.,AS3249 Telia Eesti AS
Oslo County,Norway,1****,59.9,10.7,Europe/Oslo,Norsk Regnesentral,NR NCC,AS59863 Norsk Regnesentral
Ontario,Canada,,43.7,-79.4,America/Toronto,Hewlett Packard Enterprise Company,Amazon Technologies Inc. (ca-central-1),
Zhejiang,China,,29.9,121.6,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE
England,United Kingdom,W1*,51.5,-0.1,Europe/London,DWP,,
Central and Western District,Hong Kong,,22.3,114.2,Asia/Hong_Kong,Shenzhen Tencent Computer Systems Company Limited,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue"
Tamil Nadu,India,60****,12.9,80.2,Asia/Kolkata,Hathway IP over Cable Internet Access,Hathway Cable and Datacom Limited,AS17488 Hathway IP Over Cable Internet
California,United States,95***,37.3,-121.9,America/Los_Angeles,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.
Lower Saxony,Germany,26***,53.0,7.9,Europe/Berlin,EWE TEL GmbH,EWE TEL GmbH,AS9145 EWE TEL GmbH
Vienna,Austria,10**,48.2,16.4,Europe/Vienna,A1 Telekom Austria AG,A1 Telekom Austria AG,AS8447 A1 Telekom Austria AG
North Carolina,United States,28***,35.1,-80.9,America/New_York,Atos IT Solutions and Services Inc,Arrowpoint Capital,AS33745 Atos IT Solutions and Services Inc
New Jersey,United States,85**,40.4,-74.6,America/New_York,S&P Global Inc.,S&P Global Inc,
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
,,,,,,,,
,,,,,,,,
Veneto,Italy,44***,44.9,12.1,Europe/Rome,Delta Web Spa,,AS49653 CADF S.p.A
Louisiana,United States,71***,31.8,-93.1,America/Chicago,State of Louisiana Office of Technology Services,"Louisiana School the Math, Science, and Arts",AS2048 State of Louisiana Office of Technology Services
Texas,United States,75***,32.9,-97.0,America/Chicago,NEC Corporation of America,"NEC USA, Inc.",AS13636 NEC Corporation of America
,,,,,,,,
Karelia,Russia,18****,62.2,34.3,Europe/Moscow,TRANS-TELECOM,,AS20485 Joint Stock Company TransTeleCom
Shanghai,China,,31.2,121.5,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE
Cairo Governorate,Egypt,,30.1,31.2,Africa/Cairo,TE Data,TE Data,AS8452 TE-AS
Indiana,United States,47***,38.5,-86.0,America/Indiana/Indianapolis,Intelligent Fiber Network,Washington County RTC,AS3131 Tele-Media Solutions
Louisiana,United States,71***,32.6,-92.1,America/Chicago,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC"
Calabarzon,Philippines,41**,14.4,120.9,Asia/Manila,Philippine Long Distance Telephone Co.,,AS9299 Philippine Long Distance Telephone Company
Cairo Governorate,Egypt,,30.1,31.2,Africa/Cairo,TE Data,,AS8452 TE-AS
,,,,,,,,
Zurich,Switzerland,80**,47.4,8.5,Europe/Zurich,UBINET-INTERNET,UBS AG,
Colorado,United States,80***,39.6,-104.9,America/Denver,Spectrum,Charter Communications,
,,,,,,,,
California,United States,95***,37.3,-122.0,America/Los_Angeles,Apple Inc.,Apple Inc,AS714 Apple Inc.
Hesse,Germany,60***,50.1,8.6,Europe/Berlin,Equinix Frankfurt,Equinix (Germany) GmbH,AS15830 Equinix (EMEA) Acquisition Enterprises B.V.
Taiwan,Taiwan,,25.0,121.6,Asia/Taipei,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom Co. Ltd.,AS3462 Data Communication Business Group
Istanbul,Türkiye,34***,41.0,29.0,Europe/Istanbul,Site 1,,AS15924 Vodafone Net Iletisim Hizmetler AS
Guangdong,China,51****,22.5,114.1,Asia/Shanghai,China Internet Network Information Center,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
Saitama,Japan,33******,35.9,139.6,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,
Hebei,China,,36.6,114.5,Asia/Shanghai,China Unicom Hebei Province Network,,AS4837 CHINA UNICOM China169 Backbone
,,,,,,,,
Andhra Pradesh,India,53****,17.7,83.2,Asia/Kolkata,Bharti Airtel Limited,BCL NORTH,AS45609 Bharti Airtel Ltd. AS for GPRS Service
Tokyo,Japan,20******,35.7,139.8,Asia/Tokyo,"NTT PC Communications, Inc.","NTT PC Communications, Inc.","AS2514 NTT PC Communications, Inc."
,,,,,,,,
,,,,,,,,
California,United States,95***,38.6,-121.5,America/Los_Angeles,California Department of Technology,California Department of Insurance,AS1226 California Department of Technology
,,,,,,,,
,,,,,,,,
Pennsylvania,United States,18***,40.3,-75.1,America/New_York,Service Provider Corporation,Service Provider Corporation,
Ontario,Canada,K2*,45.4,-75.7,America/Toronto,Public Works and Government Services Canada,Public Works and Government Services Canada,
Metro Manila,Philippines,16**,14.5,121.1,Asia/Manila,Philippine Long Distance Telephone Co.,Philippine Long Distance Telephone Co,AS9299 Philippine Long Distance Telephone Company
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
Georgia,United States,30***,33.8,-84.4,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business
Seoul,South Korea,51***,37.5,127.1,Asia/Seoul,DACOM-PUBNETPLUS,Pubnetplus,AS9316 DACOM-PUBNETPLUS
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Microsoft Limited,Microsoft Limited,
North Carolina,United States,27***,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Maharashtra,India,40****,19.1,72.9,Asia/Kolkata,Amazon Technologies Inc.,AWS EC2 (ap-south-1),"AS16509 Amazon.com, Inc."
England,United Kingdom,W1*****,51.5,-0.1,Europe/London,Barefruit Ltd,Barefruit Ltd,
California,United States,94***,37.5,-122.2,America/Los_Angeles,Turn Inc.,Turn Inc,
,,,,,,,,
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
,,,,,,,,
South Australia,Australia,51**,-34.8,138.7,Australia/Adelaide,Telstra Internet,,AS1221 Telstra Corporation Ltd
North West,Singapore,85****,1.4,103.8,Asia/Singapore,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd."
Georgia,United States,30***,33.8,-84.4,America/New_York,NCR Corporation,NCR Corporation,AS14962 NCR Corporation
,,,,,,,,
Taipei,Taiwan,,25.0,121.5,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,
Texas,United States,77***,30.2,-95.5,America/Chicago,Anadarko Petroleum Corporation,Anadarko Petroleum Corporation,
,,,,,,,,
,,,,,,,,
Ohio,United States,44***,41.4,-81.4,America/New_York,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS6167 Verizon Business
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Arizona,United States,85***,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
New Jersey,United States,71**,40.8,-74.1,America/New_York,RADIANZ Americas,"RADIANZ Americas, Inc",
Västerbotten County,Sweden,90****,63.8,20.3,Europe/Stockholm,"UMDAC, Umea University","UMDAC, Umea University","AS12501 UMDAC, Umea University"
Metro Manila,Philippines,11**,14.6,121.0,Asia/Manila,Philippine Long Distance Telephone Co.,,AS9299 Philippine Long Distance Telephone Company
,,,,,,,,
,,,,,,,,
Chiba,Japan,26******,35.6,140.1,Asia/Tokyo,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation
Jakarta,Indonesia,,-6.2,106.8,Asia/Jakarta,PT Telekomunikasi Selular Indonesia,PT.TELKOMSEL Indonesia,AS23693 PT. Telekomunikasi Selular
Wyoming,United States,82***,41.1,-104.8,America/Denver,T-Mobile USA,Sprint Cheyenne POP,
Iowa,United States,,41.3,-95.9,America/Chicago,Google LLC,Google Cloud (us-central1),AS396982 Google LLC
West Bengal,India,70****,22.6,88.4,Asia/Kolkata,AIRCEL,Aircel Limited,
Ontario,Canada,P1*,46.3,-79.6,America/Toronto,Cogeco Communications Inc.,Cogeco Cable Canada Inc.,AS7992 Cogeco Connexion Inc.
Montana,United States,59***,45.8,-108.5,America/Denver,Charter Communications,Spectrum,AS33588 Charter Communications
Zurich,Switzerland,83**,47.5,8.6,Europe/Zurich,Provider:Swisscom IP-Plus,Bundesamt fuer Meteorologie und Klimatologie,AS559 SWITCH
Zhejiang,China,31****,30.0,120.0,Asia/Shanghai,Chinanet,ZJ ZF New Material Co,AS4134 CHINANET-BACKBONE
Rio Grande do Sul,Brazil,,-30.0,-51.2,America/Sao_Paulo,Universidade Federal do Rio Grande do Sul,Universidade Federal do Rio Grande do Sul,AS19200 Universidade Federal do Rio Grande do Sul
Georgia,United States,30***,33.7,-84.4,America/New_York,Spectrum,Road Runner,AS11426 Charter Communications Inc
Arizona,United States,85***,31.6,-110.4,America/Phoenix,CTNOSC,USAISC,AS367 DoD Network Information Center
Illinois,United States,60***,41.9,-87.6,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Australian Capital Territory,Australia,26**,-35.3,149.2,Australia/Sydney,AUSLIG,Auslig,
,,,,,,,,
Tokyo,Japan,16******,35.7,139.7,Asia/Tokyo,"National University Corporation, Ehime University",,"AS131897 National University Corporation ,Ehime University"
Quebec,Canada,H3*,45.5,-73.6,America/Toronto,Reseau d'Informations Scientifiques du Quebec (RISQ Inc.),University of Montreal,AS376 Reseau d'Informations Scientifiques du Quebec (RISQ Inc.)
,,,,,,,,
New York,United States,10***,40.7,-74.0,America/New_York,Mediaocean LLC,Mediaocean LLC,
,,,,,,,,
Alberta,Canada,T5*,53.5,-113.5,America/Edmonton,Reserved AS,Edmonton Power,AS23448 ASN-EPCOR
Tehran,Iran,,35.7,51.4,Asia/Tehran,Sepanta Internet and MPLS Service Provider,Sepanta Communication Development Co. Ltd,AS39074 Sepanta Communication Development Co. Ltd
Madrid,Spain,28***,40.4,-3.8,Europe/Madrid,Entidad Publica Empresarial Red.es,UPM,AS766 Entidad Publica Empresarial Red.es
Shanghai,China,,31.2,121.5,Asia/Shanghai,China Unicom CHINA169 Shanghai Province Network,,AS17621 China Unicom Shanghai network
Kanagawa,Japan,22******,35.6,139.5,Asia/Tokyo,UCOM Corp.,UCOM Corporation,AS17506 ARTERIA Networks Corporation
Tamil Nadu,India,60****,13.1,80.3,Asia/Kolkata,SoftLayer,"SoftLayer Technologies, Inc",AS36351 SoftLayer Technologies Inc.
British Columbia,Canada,V7*,49.1,-123.2,America/Vancouver,University of British Columbia,University of British Columbia,AS393249 University of British Columbia
Luxembourg,Luxembourg,L-****,49.6,6.1,Europe/Luxembourg,POST Luxembourg,EPT,AS6661 POST Luxembourg
