City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Shenzhen,Guangdong,China,,23.0,114.0,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
Schiphol-Rijk,North Holland,The Netherlands,1119,52.0,5.0,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
Yokohama,Kanagawa,Japan,231-0841,35.0,140.0,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Suyeong-gu,Busan,South Korea,482,35.0,129.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Sierra Vista,Arizona,United States,85613,32.0,-110.0,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Madison,Wisconsin,United States,53717,43.0,-90.0,America/Chicago,Wingra Technologies,,
Quanzhou,Fujian,China,,25.0,119.0,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus,Damascus Governorate,Syria,,34.0,36.0,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Anchorage,Alaska,United States,99501,61.0,-150.0,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Orlando,Florida,United States,32801,29.0,-81.0,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Caldas,Minas Gerais,Brazil,37780,-22.0,-46.0,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Caracas,Miranda,Venezuela,,10.0,-67.0,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Rho,Lombardy,Italy,20017,46.0,9.0,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Bremen,Germany,28195,53.0,9.0,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Boydton,Virginia,United States,23917,37.0,-78.0,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,,
Malang,East Java,Indonesia,,-8.0,113.0,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Frankfurt am Main,Hesse,Germany,60313,50.0,9.0,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,Beijing,China,,40.0,116.0,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Austin,Texas,United States,78741,30.0,-98.0,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Peterborough,Ontario,Canada,K9H,44.0,-78.0,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
London,England,United Kingdom,W1B,52.0,-0.0,Europe/London,TalkTalk,TalkTalk Communications Limited,
Chicago,Illinois,United States,60602,42.0,-88.0,America/Chicago,Microsoft Limited,Microsoft Limited,
Louisville,Kentucky,United States,40219,38.0,-86.0,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Chiyoda,Tokyo,Japan,100-0001,36.0,140.0,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,New York,United States,10271,41.0,-74.0,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
