1650.0,"Other Life Scientists","Science","STEM","*"
1700.0,"Astronomers And Physicists","Science","STEM","*"
1710.0,"Atmospheric And Space Scientists","Science","STEM","*"
1720.0,"Chemists And Materials Scientists","Science","STEM","*"
1745.0,"Environmental Scientists And Specialists, Including Health","Science","STEM","*"
1750.0,"Geoscientists And Hydrologists, Except Geographers","Science","STEM","*"
1760.0,"Physical Scientists, All Other","Science","STEM","*"
1800.0,"Economists","Science","STEM","*"
1821.0,"Clinical And Counseling Psychologists","Science","STEM","*"
1822.0,"School Psychologists","Science","STEM","*"
1825.0,"Other Psychologists","Science","STEM","*"
1840.0,"Urban And Regional Planners","Science","STEM","*"
1860.0,"Other Social Scientists","Science","STEM","*"
1900.0,"Agricultural And Food Science Technicians","Science","STEM","*"
1910.0,"Biological Technicians","Science","STEM","*"
1920.0,"Chemical Technicians","Science","STEM","*"
1935.0,"Environmental Science and Geoscience Technicians, And Nuclear Technicians","Science","STEM","*"
1970.0,"Other Life, Physical, And Social Science Technicians","Science","STEM","*"
1980.0,"Occupational Health And Safety Specialists and Technicians","Science","STEM","*"
2001.0,"Substance Abuse And Behavioral Disorder Counselors","Community & Social Service","Public / Social Service","*"
2002.0,"Educational, Guidance, And Career Counselors And Advisors","Community & Social Service","Public / Social Service","*"
2003.0,"Marriage And Family Therapists","Community & Social Service","Public / Social Service","*"
2004.0,"Mental Health Counselors","Community & Social Service","Public / Social Service","*"
2005.0,"Rehabilitation Counselors","Community & Social Service","Public / Social Service","*"
2006.0,"Counselors, All Other","Community & Social Service","Public / Social Service","*"
2011.0,"Child, Family, And School Social Workers","Community & Social Service","Public / Social Service","*"
2012.0,"Healthcare Social Workers","Community & Social Service","Public / Social Service","*"
2013.0,"Mental Health And Substance Abuse Social Workers","Community & Social Service","Public / Social Service","*"
2014.0,"Social Workers, All Other","Community & Social Service","Public / Social Service","*"
2015.0,"Probation Officers And Correctional Treatment Specialists","Community & Social Service","Public / Social Service","*"
2016.0,"Social And Human Service Assistants","Community & Social Service","Public / Social Service","*"
2025.0,"Other Community and Social Service Specialists","Community & Social Service","Public / Social Service","*"
2040.0,"Clergy","Community & Social Service","Public / Social Service","*"
2050.0,"Directors, Religious Activities And Education","Community & Social Service","Public / Social Service","*"
2060.0,"Religious Workers, All Other","Community & Social Service","Public / Social Service","*"
2100.0,"Lawyers, And Judges, Magistrates, And Other Judicial Workers","Legal","White Collar / Professional","*"
2105.0,"Judicial Law Clerks","Legal","White Collar / Professional","*"
2145.0,"Paralegals And Legal Assistants","Legal","White Collar / Professional","*"
2170.0,"Title Examiners, Abstractors, and Searchers","Legal","White Collar / Professional","*"
2180.0,"Legal Support Workers, All Other","Legal","White Collar / Professional","*"
2205.0,"Postsecondary Teachers","Education","White Collar / Professional","*"
2300.0,"Preschool And Kindergarten Teachers","Education","White Collar / Professional","*"
2310.0,"Elementary And Middle School Teachers","Education","White Collar / Professional","*"
2320.0,"Secondary School Teachers","Education","White Collar / Professional","*"
2330.0,"Special Education Teachers","Education","White Collar / Professional","*"
2350.0,"Tutors","Education","White Collar / Professional","*"
2360.0,"Other Teachers and Instructors","Education","White Collar / Professional","*"
2400.0,"Archivists, Curators, And Museum Technicians","Education","White Collar / Professional","*"
2435.0,"Librarians And Media Collections Specialists","Education","White Collar / Professional","*"
2440.0,"Library Technicians","Education","White Collar / Professional","*"
2545.0,"Teaching Assistants","Education","White Collar / Professional","*"
2555.0,"Other Educational Instruction and Library Workers","Education","White Collar / Professional","*"
2600.0,"Artists And Related Workers","Arts & Entertainment","Arts & Media","*"
2631.0,"Commercial And Industrial Designers","Arts & Entertainment","Arts & Media","*"
2632.0,"Fashion Designers","Arts & Entertainment","Arts & Media","*"
2633.0,"Floral Designers","Arts & Entertainment","Arts & Media","*"
2634.0,"Graphic Designers","Arts & Entertainment","Arts & Media","*"
2635.0,"Interior Designers","Arts & Entertainment","Arts & Media","*"
2636.0,"Merchandise Displayer And Windows Trimmers","Arts & Entertainment","Arts & Media","*"
2640.0,"Other Designers","Arts & Entertainment","Arts & Media","*"
2700.0,"Actors","Arts & Entertainment","Arts & Media","*"
2710.0,"Producers And Directors","Arts & Entertainment","Arts & Media","*"
2721.0,"Athletes and Sports Competitors","Arts & Entertainment","Arts & Media","*"
2722.0,"Coaches and Scouts","Arts & Entertainment","Arts & Media","*"
2723.0,"Umpires, Referees, And Other Sports Officials","Arts & Entertainment","Arts & Media","*"
2740.0,"Dancers And Choreographers","Arts & Entertainment","Arts & Media","*"
2751.0,"Music Directors and Composers","Arts & Entertainment","Arts & Media","*"
2752.0,"Musicians and Singers","Arts & Entertainment","Arts & Media","*"
