248,"Yemen","Asia","Non-US","*"
249,"Asia","Asia","Non-US","*"
253,"South Central Asia, Not Specified","Asia","Non-US","*"
254,"Other Asia, Not Specified","Asia","Non-US","*"
300,"Bermuda","North-America","Non-US","*"
301,"Canada","North-America","Non-US","*"
303,"Mexico","North-America","Non-US","*"
310,"Belize","North-America","Non-US","*"
311,"Costa Rica","North-America","Non-US","*"
312,"El Salvador","North-America","Non-US","*"
313,"Guatemala","North-America","Non-US","*"
314,"Honduras","North-America","Non-US","*"
315,"Nicaragua","North-America","Non-US","*"
316,"Panama","North-America","Non-US","*"
321,"Antigua and Barbuda","North-America","Non-US","*"
323,"Bahamas","North-America","Non-US","*"
324,"Barbados","North-America","Non-US","*"
327,"Cuba","North-America","Non-US","*"
328,"Dominica","North-America","Non-US","*"
329,"Dominican Republic","North-America","Non-US","*"
330,"Grenada","North-America","Non-US","*"
332,"Haiti","North-America","Non-US","*"
333,"Jamaica","North-America","Non-US","*"
338,"St. Kitts-Nevis","North-America","Non-US","*"
339,"St. Lucia","North-America","Non-US","*"
340,"St. Vincent and the Grenadines","North-America","Non-US","*"
341,"Trinidad and Tobago","North-America","Non-US","*"
343,"West Indies","North-America","Non-US","*"
344,"Caribbean, Not Specified","North-America","Non-US","*"
360,"Argentina","South-America","Non-US","*"
361,"Bolivia","South-America","Non-US","*"
362,"Brazil","South-America","Non-US","*"
363,"Chile","South-America","Non-US","*"
364,"Colombia","South-America","Non-US","*"
365,"Ecuador","South-America","Non-US","*"
368,"Guyana","South-America","Non-US","*"
369,"Paraguay","South-America","Non-US","*"
370,"Peru","South-America","Non-US","*"
372,"Uruguay","South-America","Non-US","*"
373,"Venezuela","South-America","Non-US","*"
374,"South America","South-America","Non-US","*"
399,"Americas, Not Specified","North-America","Non-US","*"
400,"Algeria","Africa","Non-US","*"
407,"Cameroon","Africa","Non-US","*"
408,"Cabo Verde","Africa","Non-US","*"
412,"Congo","Africa","Non-US","*"
414,"Egypt","Africa","Non-US","*"
416,"Ethiopia","Africa","Non-US","*"
417,"Eritrea","Africa","Non-US","*"
420,"Gambia","Africa","Non-US","*"
421,"Ghana","Africa","Non-US","*"
423,"Guinea","Africa","Non-US","*"
425,"Ivory Coast","Africa","Non-US","*"
427,"Kenya","Africa","Non-US","*"
429,"Liberia","Africa","Non-US","*"
430,"Libya","Africa","Non-US","*"
436,"Morocco","Africa","Non-US","*"
440,"Nigeria","Africa","Non-US","*"
442,"Rwanda","Africa","Non-US","*"
444,"Senegal","Africa","Non-US","*"
447,"Sierra Leone","Africa","Non-US","*"
448,"Somalia","Africa","Non-US","*"
449,"South Africa","Africa","Non-US","*"
451,"Sudan","Africa","Non-US","*"
453,"Tanzania","Africa","Non-US","*"
454,"Togo","Africa","Non-US","*"
456,"Tunisia","Africa","Non-US","*"
457,"Uganda","Africa","Non-US","*"
459,"Democratic Republic of Congo (Zaire)","Africa","Non-US","*"
460,"Zambia","Africa","Non-US","*"
461,"Zimbabwe","Africa","Non-US","*"
462,"Africa","Africa","Non-US","*"
463,"South Sudan","Africa","Non-US","*"
464,"Northern Africa, Not Specified","Africa","Non-US","*"
467,"Western Africa, Not Specified","Africa","Non-US","*"
468,"Other Africa, Not Specified","Africa","Non-US","*"
469,"Eastern Africa, Not Specified","Africa","Non-US","*"
501,"Australia","Oceania","Non-US","*"
508,"Fiji","Oceania","Non-US","*"
511,"Marshall Islands","Oceania","Non-US","*"
512,"Micronesia","Oceania","Non-US","*"
515,"New Zealand","Oceania","Non-US","*"
523,"Tonga","Oceania","Non-US","*"
527,"Samoa","Oceania","Non-US","*"
554,"Other US Island Areas, Oceania, Not Specified, or at Sea","Oceania","Non-US","*"
